placement_id,company_name,topic,url,safety_decision,safety_confidence,risk_categories,matched_signals,safety_rationale,llm_safety_decision,llm_safety_confidence,llm_risk_categories,llm_safety_rationale,decision_match,rules_signal_explanations
11,Moonbucks Coffee,Tobacco marketing / industry tactics,https://www.tobaccotactics.org/article/tobacco-industry-targeting-young-people/,review,high,tobacco_or_nicotine,topic:tobacco->tobacco_or_nicotine,Review for Moonbucks Coffee: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:tobacco->tobacco_or_nicotine.,review,high,tobacco_or_nicotine,"The placement is about tobacco industry tactics targeting young people, which falls directly under the review category 'tobacco_or_nicotine' defined by the advertiser's policy. Although the advertiser tolerates neutral content, this topic is sensitive and requires review according to the policy.",True,"matched ""tobacco"" in topic, triggering tobacco_or_nicotine"
12,Jen & Berry's Ice Cream,Tobacco marketing / industry tactics,https://worldmetrics.org/marketing-in-the-tobacco-industry-statistics/,unsafe,high,click_quality;tobacco_or_nicotine,topic:tobacco->tobacco_or_nicotine;invalid_click_rate:9.8%->click_quality,"Unsafe for Jen & Berry's Ice Cream: detected click_quality, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:tobacco->tobacco_or_nicotine; invalid_click_rate:9.8%->click_quality.",unsafe,high,tobacco_or_nicotine,"The placement URL and title clearly indicate content related to tobacco marketing and industry tactics, which directly falls under the hard unsafe category tobacco_or_nicotine for this family-friendly food brand. Despite the channel being shopping, the focus on tobacco marketing makes it incompatible with the advertiser's policy.",True,"matched ""tobacco"" in topic, triggering tobacco_or_nicotine; invalid click rate 9.8% triggered click_quality"
13,Plush Cosmetics,Tobacco marketing / industry tactics,https://yactmovement.org/wp-content/uploads/2025/09/Tobacco-industry-Youth-Desk-Research-RK-002.pdf,unsafe,high,tobacco_or_nicotine,topic:tobacco->tobacco_or_nicotine,Unsafe for Plush Cosmetics: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:tobacco->tobacco_or_nicotine.,unsafe,high,tobacco_or_nicotine,"The placement is directly associated with tobacco industry and youth, a topic sensitive and explicitly prohibited by the advertiser's policy which lists tobacco or nicotine as a hard unsafe category. Therefore, this placement is unsafe for Plush Cosmetics.",True,"matched ""tobacco"" in topic, triggering tobacco_or_nicotine"
14,Jen & Berry's Ice Cream,Tobacco marketing / industry tactics,https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,unsafe,high,tobacco_or_nicotine,topic:tobacco->tobacco_or_nicotine,Unsafe for Jen & Berry's Ice Cream: detected tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:tobacco->tobacco_or_nicotine.,unsafe,high,tobacco_or_nicotine,"The placement is about 'World No Tobacco Day 2026' and discusses tobacco marketing and countering nicotine and tobacco addiction. Since tobacco_or_nicotine is a hard unsafe category for this advertiser, this placement is unsafe despite the negative stance on tobacco.",True,"matched ""tobacco"" in topic, triggering tobacco_or_nicotine"
15,Moonbucks Coffee,Tobacco marketing / industry tactics,https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,review,high,politics;tobacco_or_nicotine,topic:tobacco->tobacco_or_nicotine;url:government->politics,"Review for Moonbucks Coffee: detected politics, tobacco_or_nicotine from enriched title/topic evidence. Signals: topic:tobacco->tobacco_or_nicotine; url:government->politics.",review,high,tobacco_or_nicotine,"The placement is about tobacco marketing and cessation efforts, placing it in the tobacco_or_nicotine review category according to the advertiser's policy. Since Moonbucks Coffee tolerates neutral and general-interest content but tobacco-related content is explicitly a review category, this placement should be marked for review rather than safe or unsafe.",True,"matched ""tobacco"" in topic, triggering tobacco_or_nicotine; matched ""government"" in url, triggering politics"
16,Moonbucks Coffee,Alt-right propaganda (analysis),https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,unsafe,high,click_quality;hate_or_alt_right;propaganda_or_disinformation,topic:alt-right->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation;invalid_click_rate:9.6%->click_quality,"Unsafe for Moonbucks Coffee: detected click_quality, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: topic:alt-right->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation; invalid_click_rate:9.6%->click_quality.",review,high,hate_or_alt_right;propaganda_or_disinformation,"The placement is an article about Alt-right propaganda, which falls under the advertiser's hard unsafe categories of hate_or_alt_right and propaganda_or_disinformation. However, the content is analytical and published on a shopping channel, possibly for educational or neutral analysis purposes. Because the advertiser can tolerate more neutral news and general-interest content but strictly blocks universal high-risk content, this placement is sensitive and warrants review to confirm context before deeming safe or unsafe.",False,"matched ""alt-right"" in topic, triggering hate_or_alt_right; matched ""propaganda"" in topic, triggering propaganda_or_disinformation; invalid click rate 9.6% triggered click_quality"
17,Jet3 Holidays,Alt-right propaganda (analysis),https://gnet-research.org/,unsafe,high,extremism;hate_or_alt_right;propaganda_or_disinformation,title:extremism->extremism;topic:alt-right->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Jet3 Holidays: detected extremism, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:extremism->extremism; topic:alt-right->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation.",unsafe,high,propaganda_or_disinformation;extremism,"The placement is on a site dedicated to alt-right propaganda analysis, which directly conflicts with the advertiser's hard unsafe categories including extremism and propaganda_or_disinformation, making this placement unsafe.",True,"matched ""extremism"" in title, triggering extremism; matched ""alt-right"" in topic, triggering hate_or_alt_right; matched ""propaganda"" in topic, triggering propaganda_or_disinformation"
18,Moonbucks Coffee,Alt-right propaganda (analysis),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,unsafe,high,extremism;hate_or_alt_right;propaganda_or_disinformation,title:extremist->extremism;topic:alt-right->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Moonbucks Coffee: detected extremism, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:extremist->extremism; topic:alt-right->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation.",unsafe,high,propaganda_or_disinformation;hate_or_alt_right;extremism,"The placement is on a page explicitly about alt-right propaganda and extremist disinformation, which are listed as hard unsafe categories by the advertiser's policy. This content clearly violates the advertiser's content restrictions for being high-risk and extremist in nature.",True,"matched ""extremist"" in title, triggering extremism; matched ""alt-right"" in topic, triggering hate_or_alt_right; matched ""propaganda"" in topic, triggering propaganda_or_disinformation"
19,Jen & Berry's Ice Cream,Alt-right propaganda (analysis),https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,unsafe,high,click_quality;extremism;hate_or_alt_right;propaganda_or_disinformation,title:extremist->extremism;topic:alt-right->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation;invalid_click_rate:8.3%->click_quality,"Unsafe for Jen & Berry's Ice Cream: detected click_quality, extremism, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:extremist->extremism; topic:alt-right->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation; invalid_click_rate:8.3%->click_quality.",unsafe,high,extremism;propaganda_or_disinformation,"The placement is an article explicitly discussing global far-right extremist exploitation of AI and alt-tech, which aligns with the 'extremism' and 'propaganda_or_disinformation' risk categories. Given Jen & Berry's Ice Cream's policy and hard unsafe category for extremism, this placement is unsafe for the advertiser.",True,"matched ""extremist"" in title, triggering extremism; matched ""alt-right"" in topic, triggering hate_or_alt_right; matched ""propaganda"" in topic, triggering propaganda_or_disinformation; invalid click rate 8.3% triggered click_quality"
20,Plush Cosmetics,Alt-right propaganda (analysis),https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,unsafe,high,click_quality;extremism;hate_or_alt_right;propaganda_or_disinformation;war_or_conflict,title:terror->war_or_conflict;title:radicalisation->extremism;topic:alt-right->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation;invalid_click_rate:8.9%->click_quality,"Unsafe for Plush Cosmetics: detected click_quality, extremism, hate_or_alt_right, propaganda_or_disinformation, war_or_conflict from enriched title/topic evidence. Signals: title:terror->war_or_conflict; title:radicalisation->extremism; topic:alt-right->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation; invalid_click_rate:8.9%->click_quality.",unsafe,high,propaganda_or_disinformation;extremism;hate_or_alt_right,"The placement topic explicitly relates to alt-right propaganda and terrorist propaganda, which falls under forbidden categories of extremism, hate or alt-right, and propaganda or disinformation according to the advertiser's hard unsafe categories. Therefore, it is not safe for Plush Cosmetics to place ads here.",True,"matched ""terror"" in title, triggering war_or_conflict; matched ""radicalisation"" in title, triggering extremism; matched ""alt-right"" in topic, triggering hate_or_alt_right; matched ""propaganda"" in topic, triggering propaganda_or_disinformation; invalid click rate 8.9% triggered click_quality"
21,Plush Cosmetics,Propaganda & disinformation (research),https://academic.oup.com/pnasnexus/article/4/4/pgaf083/8097936,unsafe,high,hate_or_alt_right;propaganda_or_disinformation,topic:propaganda->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Plush Cosmetics: detected hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: topic:propaganda->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation.",unsafe,high,propaganda_or_disinformation,"The placement is on a page explicitly focused on propaganda and disinformation, which is listed as a hard unsafe category for the advertiser Plush Cosmetics. Despite the content being research-focused, the direct association with propaganda and disinformation violates the advertiser's safety policy.",True,"matched ""propaganda"" in topic, triggering hate_or_alt_right; matched ""propaganda"" in topic, triggering propaganda_or_disinformation"
22,Moonbucks Coffee,Propaganda & disinformation (research),https://www.rand.org/pubs/research_briefs/RBA3450-2.html,unsafe,high,hate_or_alt_right;propaganda_or_disinformation;war_or_conflict,title:war->war_or_conflict;topic:propaganda->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Moonbucks Coffee: detected hate_or_alt_right, propaganda_or_disinformation, war_or_conflict from enriched title/topic evidence. Signals: title:war->war_or_conflict; topic:propaganda->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation.",unsafe,high,propaganda_or_disinformation,"The placement URL and topic explicitly concern propaganda and disinformation related to the Russia-Ukraine war, which matches a hard unsafe category for the advertiser. Despite being research, the advertiser's policy blocks universal high-risk content including propaganda or disinformation. Therefore, this placement is unsafe for Moonbucks Coffee.",True,"matched ""war"" in title, triggering war_or_conflict; matched ""propaganda"" in topic, triggering hate_or_alt_right; matched ""propaganda"" in topic, triggering propaganda_or_disinformation"
23,Jet3 Holidays,Propaganda & disinformation (research),https://www.jstor.org/stable/48778662,unsafe,high,click_quality;extremism;hate_or_alt_right;propaganda_or_disinformation,title:extremist->extremism;topic:propaganda->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation;invalid_click_rate:8.9%->click_quality,"Unsafe for Jet3 Holidays: detected click_quality, extremism, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:extremist->extremism; topic:propaganda->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation; invalid_click_rate:8.9%->click_quality.",unsafe,high,propaganda_or_disinformation,"The placement is linked to a topic classified as propaganda and disinformation, which is a hard unsafe category for this travel advertiser sensitive to extremist and conflict-related content. The title explicitly references far-right extremist exploitation, indicating relevance to propaganda or disinformation risks. Therefore, the placement is unsafe for Jet3 Holidays under the policy guidelines.",True,"matched ""extremist"" in title, triggering extremism; matched ""propaganda"" in topic, triggering hate_or_alt_right; matched ""propaganda"" in topic, triggering propaganda_or_disinformation; invalid click rate 8.9% triggered click_quality"
24,Plush Cosmetics,Propaganda & disinformation (research),https://www.rusi.org/explore-our-research/publications/reports-papers-and-briefings,unsafe,high,hate_or_alt_right;propaganda_or_disinformation,topic:propaganda->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Plush Cosmetics: detected hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: topic:propaganda->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation.",review,high,propaganda_or_disinformation,"The placement is on a URL whose topic is explicitly identified as 'Propaganda & disinformation (research),' a hard unsafe category for Plush Cosmetics. Although the content is research-oriented and not direct extremist or propagandistic messaging, the presence of propaganda or disinformation as the main topical classification triggers the hard unsafe category. Given the advertiser's policy to avoid propaganda or disinformation, the placement is not safe. However, because the page appears to be a research publication rather than direct content, a conservative review decision is appropriate.",False,"matched ""propaganda"" in topic, triggering hate_or_alt_right; matched ""propaganda"" in topic, triggering propaganda_or_disinformation"
25,Jet3 Holidays,Propaganda & disinformation (research),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,unsafe,high,extremism;hate_or_alt_right;propaganda_or_disinformation,title:extremist->extremism;topic:propaganda->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Jet3 Holidays: detected extremism, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:extremist->extremism; topic:propaganda->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation.",review,high,propaganda_or_disinformation,"The placement is on a page about extremist disinformation networks and narratives, directly related to propaganda or disinformation, which is a hard unsafe category for this advertiser. However, the content appears to be research-oriented and analytical rather than promotional or extremist itself. Given the advertiser's sensitivity to propaganda or disinformation, this is a high-risk placement that should be reviewed rather than immediately deemed safe or unsafe.",False,"matched ""extremist"" in title, triggering extremism; matched ""propaganda"" in topic, triggering hate_or_alt_right; matched ""propaganda"" in topic, triggering propaganda_or_disinformation"
26,Moonbucks Coffee,Immigration (UK asylum),https://www.gov.uk/government/publications/asylum-and-returns-policy-statement/restoring-order-and-control-a-statement-on-the-governments-asylum-and-returns-policy,review,high,immigration;politics,title:policy->politics;topic:immigration->immigration,"Review for Moonbucks Coffee: detected immigration, politics from enriched title/topic evidence. Signals: title:policy->politics; topic:immigration->immigration.",review,high,immigration,"The page discusses immigration policy, specifically asylum and returns policy, which falls under the advertiser's review category 'immigration.' Given the sensitivity of immigration topics for Moonbucks Coffee, and that the page is a government policy statement on asylum, placing ads here requires review to ensure alignment with advertiser preferences.",True,"matched ""policy"" in title, triggering politics; matched ""immigration"" in topic, triggering immigration"
27,Jen & Berry's Ice Cream,Immigration (UK asylum),https://committees.parliament.uk/work/9508/an-analysis-of-the-asylum-system/,review,high,immigration,topic:immigration->immigration,Review for Jen & Berry's Ice Cream: detected immigration from enriched title/topic evidence. Signals: topic:immigration->immigration.,review,high,immigration,"The placement is about 'An analysis of the asylum system' with a clear topic of immigration, which is a review category per the advertiser's policy. Although immigration is not a hard unsafe category, it is sensitive and flagged for review to ensure content aligns with the family-friendly brand values. There is no evidence of direct adult themes, tobacco, extremism, or other hard unsafe content.",True,"matched ""immigration"" in topic, triggering immigration"
28,Moonbucks Coffee,Immigration (UK asylum),https://www.nao.org.uk/wp-content/uploads/2025/12/an-analysis-of-the-asylum-system-summary.pdf,review,high,immigration,topic:immigration->immigration,Review for Moonbucks Coffee: detected immigration from enriched title/topic evidence. Signals: topic:immigration->immigration.,review,high,immigration,"The placement is about immigration, specifically asylum system analysis, which falls under the review category listed by the advertiser's policy. Since Moonbucks Coffee tolerates neutral news and general-interest content but requires review for immigration topics, this placement should be reviewed for suitability.",True,"matched ""immigration"" in topic, triggering immigration"
29,Jet3 Holidays,Immigration (UK asylum),https://www.theguardian.com/world/2026/mar/02/shabana-mahmood-refugee-status-change-may-undermine-legal-obligations-law-society,review,high,immigration,topic:immigration->immigration,Review for Jet3 Holidays: detected immigration from enriched title/topic evidence. Signals: topic:immigration->immigration.,review,high,immigration,"The placement URL and title indicate content related to immigration and asylum, directly relating to the travel-adjacent sensitive topic of refugee status and asylum law. The advertiser Jet3 Holidays is extra-sensitive to immigration issues, which are explicitly listed as a review category. No hard unsafe categories are present, but given the sensitivity and direct relevance to immigration, the placement requires review before deemed safe.",True,"matched ""immigration"" in topic, triggering immigration"
30,Jen & Berry's Ice Cream,Immigration (UK asylum),https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,review,high,immigration,topic:immigration->immigration,Review for Jen & Berry's Ice Cream: detected immigration from enriched title/topic evidence. Signals: topic:immigration->immigration.,review,high,immigration,"The placement is on an article discussing UK immigration and asylum issues. Immigration is a sensitive topic flagged under review categories for this advertiser, which is family-friendly and avoids divisive political content. There is no evidence of direct extremism or other hard unsafe content, but the topic requires further contextual review to ensure alignment with brand safety policies.",True,"matched ""immigration"" in topic, triggering immigration"
31,Jet3 Holidays,Immigration (UK policy & practice),https://www.hilldickinson.com/our-view/articles/immigration-spotlight-2026/,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Jet3 Holidays: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration.",review,high,immigration,"The placement is related to UK immigration policy, which is categorized as a 'review' risk for this advertiser. There is no evidence of hard unsafe categories such as aviation incidents or war. The content may be sensitive to the advertiser due to its immigration topic, and thus is appropriate for review rather than safe or unsafe.",True,"matched ""policy"" in topic, triggering politics; matched ""immigration"" in topic, triggering immigration"
32,Jet3 Holidays,Immigration (UK policy & practice),https://assets.publishing.service.gov.uk/media/691ae05b493305b49ce6e845/Restoring_Order_and_Control_-_A_statement_on_the_Government_s_asylum_and_returns_policy_final.pdf,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Jet3 Holidays: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration.",review,high,immigration,"The placement content is related to immigration policy, which is marked as a review category for this travel advertiser. There is no evidence of hard unsafe categories such as aviation incidents or war-related content. Given the sensitive nature of immigration topics for this advertiser, review is appropriate despite the absence of direct policy violation.",True,"matched ""policy"" in topic, triggering politics; matched ""immigration"" in topic, triggering immigration"
33,Jet3 Holidays,Immigration (UK policy & practice),https://axis.lawyer/ilr-uk-news-key-immigration-changes-for-2026/,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Jet3 Holidays: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration.",review,high,immigration,"The placement is on a page clearly identified as discussing immigration policy changes, which falls under the 'review' category for this travel advertiser due to sensitivity around immigration-related content. The content does not indicate any hard unsafe categories such as aviation incidents or war. Therefore, a review decision is prudent to ensure alignment with advertiser policy.",True,"matched ""policy"" in topic, triggering politics; matched ""immigration"" in topic, triggering immigration"
34,Plush Cosmetics,Immigration (UK policy & practice),https://www.thetimes.com/uk/politics/article/kemi-badenoch-integration-equality-law-2l3thbkr6,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Plush Cosmetics: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration.",review,high,immigration,"The placement relates to immigration policy, which is a review category for this advertiser. While there are no direct indications of harmful wellbeing, extremist, sexual, or other hard unsafe content, immigration content is flagged for review due to potential sensitivity and controversy.",True,"matched ""policy"" in topic, triggering politics; matched ""immigration"" in topic, triggering immigration"
35,Plush Cosmetics,Immigration (UK policy & practice),https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Plush Cosmetics: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration.",review,high,immigration,"The placement is on an article about immigration policies, which is a review category for this advertiser due to its potential sensitivity and controversy around immigration topics. There is no evidence of explicit sexual content, extremism, or other hard unsafe categories. Given the topic falls under a review category, the placement should be reviewed to ensure appropriateness for the advertiser's sensitive wellbeing policies.",True,"matched ""policy"" in topic, triggering politics; matched ""immigration"" in topic, triggering immigration"
36,Jen & Berry's Ice Cream,Immigration (US policy),https://www.brookings.edu/articles/what-will-2026-bring-for-us-migration-policy/,review,high,click_quality;immigration;politics,topic:policy->politics;topic:immigration->immigration;invalid_click_rate:8.6%->click_quality,"Review for Jen & Berry's Ice Cream: detected click_quality, immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration; invalid_click_rate:8.6%->click_quality.",review,high,immigration,"The ad placement is on a page discussing US migration policy, which falls under the 'immigration' topic classified as a review category by the advertiser. Given the sensitivity around immigration topics and the advertiser's policy to review such content, this placement requires further review before approval.",True,"matched ""policy"" in topic, triggering politics; matched ""immigration"" in topic, triggering immigration; invalid click rate 8.6% triggered click_quality"
