placement_id,topic,title,url,company_name,account_id,channel_type,clicks,invalid_clicks,safety_decision,safety_confidence,risk_categories,matched_signals,safety_rationale
24,Propaganda & disinformation (research),"Reports, Papers & Briefings (RUSI publications index)",https://www.rusi.org/explore-our-research/publications/reports-papers-and-briefings,Plush Cosmetics,1004,Shopping,2658,10,unsafe,high,hate_or_alt_right;propaganda_or_disinformation,topic:propaganda->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Plush Cosmetics: detected hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: topic:propaganda->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation."
25,Propaganda & disinformation (research),Extremist disinformation networks and narratives during crises (DISA / GNET),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Jet3 Holidays,1001,PMax,6918,217,unsafe,high,extremism;hate_or_alt_right;propaganda_or_disinformation,title:extremist->extremism;topic:propaganda->hate_or_alt_right;topic:propaganda->propaganda_or_disinformation,"Unsafe for Jet3 Holidays: detected extremism, hate_or_alt_right, propaganda_or_disinformation from enriched title/topic evidence. Signals: title:extremist->extremism; topic:propaganda->hate_or_alt_right; topic:propaganda->propaganda_or_disinformation."
26,Immigration (UK asylum),Restoring Order and Control: asylum and returns policy statement (GOV.UK),https://www.gov.uk/government/publications/asylum-and-returns-policy-statement/restoring-order-and-control-a-statement-on-the-governments-asylum-and-returns-policy,Moonbucks Coffee,1003,Paid Social,1335,75,review,high,immigration;politics,title:policy->politics;topic:immigration->immigration,"Review for Moonbucks Coffee: detected immigration, politics from enriched title/topic evidence. Signals: title:policy->politics; topic:immigration->immigration."
27,Immigration (UK asylum),An analysis of the asylum system (UK Parliament committees),https://committees.parliament.uk/work/9508/an-analysis-of-the-asylum-system/,Jen & Berry's Ice Cream,1002,Search,2661,81,review,high,immigration,topic:immigration->immigration,Review for Jen & Berry's Ice Cream: detected immigration from enriched title/topic evidence. Signals: topic:immigration->immigration.
28,Immigration (UK asylum),An analysis of the asylum system – summary (NAO PDF),https://www.nao.org.uk/wp-content/uploads/2025/12/an-analysis-of-the-asylum-system-summary.pdf,Moonbucks Coffee,1003,PMax,4511,136,review,high,immigration,topic:immigration->immigration,Review for Moonbucks Coffee: detected immigration from enriched title/topic evidence. Signals: topic:immigration->immigration.
29,Immigration (UK asylum),Mahmood's move to make asylum temporary may undermine refugee convention (The Guardian),https://www.theguardian.com/world/2026/mar/02/shabana-mahmood-refugee-status-change-may-undermine-legal-obligations-law-society,Jet3 Holidays,1001,Shopping,9363,526,review,high,immigration,topic:immigration->immigration,Review for Jet3 Holidays: detected immigration from enriched title/topic evidence. Signals: topic:immigration->immigration.
30,Immigration (UK asylum),Skilled workers fear settled status dream snatched away (The Guardian),https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,Jen & Berry's Ice Cream,1002,Display,9101,481,review,high,immigration,topic:immigration->immigration,Review for Jen & Berry's Ice Cream: detected immigration from enriched title/topic evidence. Signals: topic:immigration->immigration.
31,Immigration (UK policy & practice),Immigration spotlight – Key UK immigration developments 2026 (Hill Dickinson),https://www.hilldickinson.com/our-view/articles/immigration-spotlight-2026/,Jet3 Holidays,1001,Shopping,3812,172,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Jet3 Holidays: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration."
32,Immigration (UK policy & practice),Restoring Order and Control (policy statement PDF) (GOV.UK),https://assets.publishing.service.gov.uk/media/691ae05b493305b49ce6e845/Restoring_Order_and_Control_-_A_statement_on_the_Government_s_asylum_and_returns_policy_final.pdf,Jet3 Holidays,1001,Paid Social,9334,475,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Jet3 Holidays: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration."
33,Immigration (UK policy & practice),ILR UK news: Key immigration changes for 2026 (Axis Solicitors blog),https://axis.lawyer/ilr-uk-news-key-immigration-changes-for-2026/,Jet3 Holidays,1001,Paid Social,8647,362,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Jet3 Holidays: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration."
34,Immigration (UK policy & practice),Kemi Badenoch: UK risks splitting into 'parallel societies' (The Times),https://www.thetimes.com/uk/politics/article/kemi-badenoch-integration-equality-law-2l3thbkr6,Plush Cosmetics,1004,Search,2026,138,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Plush Cosmetics: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration."
35,Immigration (UK policy & practice),Treat us fairly: skilled workers and settled status proposals (The Guardian),https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,Plush Cosmetics,1004,Display,6164,5,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Plush Cosmetics: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration."
36,Immigration (US policy),What will 2026 bring for US migration policy? (Brookings),https://www.brookings.edu/articles/what-will-2026-bring-for-us-migration-policy/,Jen & Berry's Ice Cream,1002,Search,5085,436,review,high,click_quality;immigration;politics,topic:policy->politics;topic:immigration->immigration;invalid_click_rate:8.6%->click_quality,"Review for Jen & Berry's Ice Cream: detected click_quality, immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration; invalid_click_rate:8.6%->click_quality."
37,Immigration (US policy),How Americans view key Trump administration immigration policies (Pew Research Center),https://www.pewresearch.org/politics/2026/01/29/how-americans-view-key-trump-administration-immigration-policies/,Plush Cosmetics,1004,PMax,6321,424,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Plush Cosmetics: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration."
38,Immigration (US policy),Texas congressman calls for halt of all U.S. immigration after Austin shooting (Houston Chronicle),https://www.chron.com/news/article/austin-shooting-chip-roy-21951254.php,Jen & Berry's Ice Cream,1002,Search,9805,16,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Jen & Berry's Ice Cream: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration."
39,Immigration (US policy),Center for Immigration Studies (CIS) – research organization (home),https://cis.org/,Jet3 Holidays,1001,Shopping,2437,196,review,high,click_quality;immigration;politics,topic:policy->politics;topic:immigration->immigration;invalid_click_rate:8.0%->click_quality,"Review for Jet3 Holidays: detected click_quality, immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration; invalid_click_rate:8.0%->click_quality."
40,Immigration (US policy),What will 2026 bring for US migration policy? (Brookings – same article),https://www.brookings.edu/articles/what-will-2026-bring-for-us-migration-policy/,Jet3 Holidays,1001,PMax,5985,447,review,high,immigration;politics,topic:policy->politics;topic:immigration->immigration,"Review for Jet3 Holidays: detected immigration, politics from enriched title/topic evidence. Signals: topic:policy->politics; topic:immigration->immigration."
41,Flight disasters (investigations),Investigation Report – Accident Reports (NTSB),https://www.ntsb.gov/investigations/AccidentReports/Pages/Reports.aspx,Jen & Berry's Ice Cream,1002,Search,4821,172,review,high,aviation_incident,topic:flight disaster->aviation_incident,Review for Jen & Berry's Ice Cream: detected aviation_incident from enriched title/topic evidence. Signals: topic:flight disaster->aviation_incident.
42,Flight disasters (investigations),NTSB Aviation Investigation Search (database),https://www.ntsb.gov/Pages/AviationQueryv2.aspx,Plush Cosmetics,1004,PMax,6323,261,review,high,aviation_incident,topic:flight disaster->aviation_incident,Review for Plush Cosmetics: detected aviation_incident from enriched title/topic evidence. Signals: topic:flight disaster->aviation_incident.
43,Flight disasters (investigations),Air Accidents Investigation Branch reports (GOV.UK),https://www.gov.uk/aaib-reports,Jet3 Holidays,1001,Paid Social,3340,302,unsafe,high,aviation_incident;click_quality,topic:flight disaster->aviation_incident;invalid_click_rate:9.0%->click_quality,"Unsafe for Jet3 Holidays: detected aviation_incident, click_quality from enriched title/topic evidence. Signals: topic:flight disaster->aviation_incident; invalid_click_rate:9.0%->click_quality."
44,Flight disasters (investigations),AAIB current field investigations (GOV.UK),https://www.gov.uk/government/publications/aaib-current-field-investigations/air-accidents-investigation-branch-current-field-investigations,Moonbucks Coffee,1003,Paid Social,4459,285,review,high,aviation_incident;politics,topic:flight disaster->aviation_incident;url:government->politics,"Review for Moonbucks Coffee: detected aviation_incident, politics from enriched title/topic evidence. Signals: topic:flight disaster->aviation_incident; url:government->politics."
45,Flight disasters (investigations),Aircraft Accident Investigation Bureau (India) – preliminary reports (home),https://aaib.gov.in/,Moonbucks Coffee,1003,Display,4613,213,review,high,aviation_incident,topic:flight disaster->aviation_incident,Review for Moonbucks Coffee: detected aviation_incident from enriched title/topic evidence. Signals: topic:flight disaster->aviation_incident.
46,Flight disasters (databases),Aviation Safety Network (home),https://aviation-safety.net/,Plush Cosmetics,1004,Display,7994,360,review,high,aviation_incident,topic:flight disaster->aviation_incident,Review for Plush Cosmetics: detected aviation_incident from enriched title/topic evidence. Signals: topic:flight disaster->aviation_incident.
47,Flight disasters (databases),Recently issued accident investigation reports (Aviation Safety Network),https://aviation-safety.net/investigation/,Jen & Berry's Ice Cream,1002,Paid Social,4518,405,review,high,aviation_incident;click_quality,topic:flight disaster->aviation_incident;invalid_click_rate:9.0%->click_quality,"Review for Jen & Berry's Ice Cream: detected aviation_incident, click_quality from enriched title/topic evidence. Signals: topic:flight disaster->aviation_incident; invalid_click_rate:9.0%->click_quality."
48,Flight disasters (databases),Air Accidents Investigation Branch (organisation page) (GOV.UK),https://www.gov.uk/government/organisations/air-accidents-investigation-branch,Moonbucks Coffee,1003,Search,1218,89,review,high,aviation_incident;politics,topic:flight disaster->aviation_incident;url:government->politics,"Review for Moonbucks Coffee: detected aviation_incident, politics from enriched title/topic evidence. Signals: topic:flight disaster->aviation_incident; url:government->politics."
49,Flight disasters (databases),Air Accidents Investigation Branch bulletin 1/2026 (PDF),https://assets.publishing.service.gov.uk/media/695e2ec58ab0677c14afdfac/AAIB_Bulletin_1-2026.pdf,Jet3 Holidays,1001,PMax,5909,1,unsafe,high,aviation_incident,topic:flight disaster->aviation_incident,Unsafe for Jet3 Holidays: detected aviation_incident from enriched title/topic evidence. Signals: topic:flight disaster->aviation_incident.
50,Flight disasters (databases),DCA25MA108 – NTSB investigation page,https://www.ntsb.gov/investigations/Pages/DCA25MA108.aspx,Jet3 Holidays,1001,Paid Social,8196,2,unsafe,high,aviation_incident,topic:flight disaster->aviation_incident,Unsafe for Jet3 Holidays: detected aviation_incident from enriched title/topic evidence. Signals: topic:flight disaster->aviation_incident.
51,Flight incidents / near-misses,Ryanair flight narrowly avoids crash at Seville Airport; investigation cited (The Sun Ireland),https://www.thesun.ie/travel/16589097/ryanair-flight-cork-avoids-crash-plane-spain/,Moonbucks Coffee,1003,PMax,8082,344,review,high,aviation_incident,topic:near-miss->aviation_incident,Review for Moonbucks Coffee: detected aviation_incident from enriched title/topic evidence. Signals: topic:near-miss->aviation_incident.
52,Flight incidents / near-misses,AAIB misses one-month deadline for Baramati crash preliminary report (New Indian Express),https://www.newindianexpress.com/nation/2026/Feb/27/aaib-misses-one-month-deadline-for-releasing-baramati-air-crash-preliminary-report,Jet3 Holidays,1001,Paid Social,1458,3,unsafe,high,aviation_incident,topic:near-miss->aviation_incident,Unsafe for Jet3 Holidays: detected aviation_incident from enriched title/topic evidence. Signals: topic:near-miss->aviation_incident.
53,Flight incidents / near-misses,"Preliminary report into Baramati crash: low visibility, operational gaps cited (Times of India)",https://timesofindia.indiatimes.com/india/preliminary-report-into-baramati-crash-out-low-visibility-operational-gaps-cited/articleshow/128886790.cms,Jen & Berry's Ice Cream,1002,Shopping,4549,145,review,high,aviation_incident,topic:near-miss->aviation_incident,Review for Jen & Berry's Ice Cream: detected aviation_incident from enriched title/topic evidence. Signals: topic:near-miss->aviation_incident.
54,Flight incidents / near-misses,"Turkish Air Force F-16 crashes near highway, pilot killed (AP News)",https://apnews.com/article/fa0fc75d46823eb2dd39f815de2d021f,Plush Cosmetics,1004,Shopping,7409,142,review,high,aviation_incident,topic:near-miss->aviation_incident,Review for Plush Cosmetics: detected aviation_incident from enriched title/topic evidence. Signals: topic:near-miss->aviation_incident.
55,Flight incidents / near-misses,AAIB reports index (GOV.UK) (searchable list),https://www.gov.uk/aaib-reports,Plush Cosmetics,1004,Display,5996,392,review,high,aviation_incident,topic:near-miss->aviation_incident,Review for Plush Cosmetics: detected aviation_incident from enriched title/topic evidence. Signals: topic:near-miss->aviation_incident.
56,Sport competitions (calendar),2026 World Sporting Event Calendar (Topend Sports),https://www.topendsports.com/events/calendar-2026.htm,Moonbucks Coffee,1003,Shopping,5741,392,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.
57,Sport competitions (calendar),2026 sporting calendar: major sports events worldwide (Sport Social),https://content.sport-social.co.uk/blog/2026-sporting-calendar-major-sports-events,Plush Cosmetics,1004,Search,5955,363,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
58,Sport competitions (calendar),Sports Events Calendar 2026 (SportsCover Direct),https://www.sportscoverdirect.com/scd-blog/sports-events-calendar-2026/,Jet3 Holidays,1001,Shopping,5558,175,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
59,Sport competitions (calendar),Looking ahead: Britain’s sporting highlights in 2026 (VisitBritain),https://www.visitbritain.org/news-and-media/destination-news-and-inspiration/looking-ahead-britains-sporting-highlights-2026,Plush Cosmetics,1004,Search,9446,180,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
60,Sport competitions (calendar),"2026 PLL, WLL Championship Series: Preview, schedule, rosters (ESPN)",https://www.espn.com/pll/story/_/id/48033101/2026-pll-wll-championship-series-lacrosse-sixes-top-players-teams-schedule,Jet3 Holidays,1001,PMax,8627,4,safe,low,,,Safe for Jet3 Holidays: no configured high-risk signals were detected from enriched title/topic evidence.
61,Sport competitions (news),World Baseball Classic is here! (Gaslamp Ball),https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,Moonbucks Coffee,1003,Search,6609,470,safe,low,,,Safe for Moonbucks Coffee: no configured high-risk signals were detected from enriched title/topic evidence.
62,Sport competitions (news),Team USA sets starting pitchers for WBC opener (Times of India),https://timesofindia.indiatimes.com/sports/mlb/news/team-usa-sets-its-best-starting-pitchers-with-cy-young-winners-leading-the-way-for-world-baseball-classic-opener/articleshow/128957698.cms,Jen & Berry's Ice Cream,1002,PMax,7432,515,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.
63,Sport competitions (news),"Barcelona vs Atlético Madrid, Copa del Rey: team news and preview (Barca Blaugranes)",https://www.barcablaugranes.com/barcelona-copa-del-rey/114048/barcelona-atletico-madrid-copa-del-rey-team-news-preview-lineups-score-prediction,Jen & Berry's Ice Cream,1002,Display,1734,79,safe,low,,,Safe for Jen & Berry's Ice Cream: no configured high-risk signals were detected from enriched title/topic evidence.
64,Sport competitions (news),Iga Swiatek returns to Indian Wells 2026 with chance to make history (Times of India),https://timesofindia.indiatimes.com/sports/international-sports/iga-swiatek-returns-to-indian-wells-2026-with-a-chance-to-make-history-as-the-first-woman-to-win-the-title-three-times/articleshow/128971466.cms,Plush Cosmetics,1004,Search,8540,459,safe,low,,,Safe for Plush Cosmetics: no configured high-risk signals were detected from enriched title/topic evidence.
