placement_id,topic,title,url,company_name,account_id,channel_type,clicks,invalid_clicks,llm_safety_decision,llm_safety_confidence,llm_risk_categories,llm_safety_rationale,llm_missing_evidence,llm_raw_response
11,Tobacco marketing / industry tactics,Tobacco Industry Targeting Young People (TobaccoTactics),https://www.tobaccotactics.org/article/tobacco-industry-targeting-young-people/,Moonbucks Coffee,1003,Display,4320,143,review,high,tobacco_or_nicotine,"The placement is about tobacco industry tactics targeting young people, which falls directly under the review category 'tobacco_or_nicotine' defined by the advertiser's policy. Although the advertiser tolerates neutral content, this topic is sensitive and requires review according to the policy.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is about tobacco industry tactics targeting young people, which falls directly under the review category 'tobacco_or_nicotine' defined by the advertiser's policy. Although the advertiser tolerates neutral content, this topic is sensitive and requires review according to the policy."", ""risk_categories"": [""tobacco_or_nicotine""]}"
12,Tobacco marketing / industry tactics,Marketing in the tobacco industry statistics: Market data report 2026 (WorldMetrics),https://worldmetrics.org/marketing-in-the-tobacco-industry-statistics/,Jen & Berry's Ice Cream,1002,Shopping,1109,109,unsafe,high,tobacco_or_nicotine,"The placement URL and title clearly indicate content related to tobacco marketing and industry tactics, which directly falls under the hard unsafe category tobacco_or_nicotine for this family-friendly food brand. Despite the channel being shopping, the focus on tobacco marketing makes it incompatible with the advertiser's policy.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement URL and title clearly indicate content related to tobacco marketing and industry tactics, which directly falls under the hard unsafe category tobacco_or_nicotine for this family-friendly food brand. Despite the channel being shopping, the focus on tobacco marketing makes it incompatible with the advertiser's policy."", ""risk_categories"": [""tobacco_or_nicotine""]}"
13,Tobacco marketing / industry tactics,A review on tobacco industry and youth (PDF),https://yactmovement.org/wp-content/uploads/2025/09/Tobacco-industry-Youth-Desk-Research-RK-002.pdf,Plush Cosmetics,1004,PMax,1595,29,unsafe,high,tobacco_or_nicotine,"The placement is directly associated with tobacco industry and youth, a topic sensitive and explicitly prohibited by the advertiser's policy which lists tobacco or nicotine as a hard unsafe category. Therefore, this placement is unsafe for Plush Cosmetics.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement is directly associated with tobacco industry and youth, a topic sensitive and explicitly prohibited by the advertiser's policy which lists tobacco or nicotine as a hard unsafe category. Therefore, this placement is unsafe for Plush Cosmetics."", ""risk_categories"": [""tobacco_or_nicotine""]}"
14,Tobacco marketing / industry tactics,World No Tobacco Day 2026 theme announcement (WHO),https://www.who.int/news/item/17-10-2025-world-no-tobacco-day-2026--unmasking-the-appeal---countering-nicotine-and-tobacco-addiction,Jen & Berry's Ice Cream,1002,PMax,9064,300,unsafe,high,tobacco_or_nicotine,"The placement is about 'World No Tobacco Day 2026' and discusses tobacco marketing and countering nicotine and tobacco addiction. Since tobacco_or_nicotine is a hard unsafe category for this advertiser, this placement is unsafe despite the negative stance on tobacco.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement is about 'World No Tobacco Day 2026' and discusses tobacco marketing and countering nicotine and tobacco addiction. Since tobacco_or_nicotine is a hard unsafe category for this advertiser, this placement is unsafe despite the negative stance on tobacco."", ""risk_categories"": [""tobacco_or_nicotine""]}"
15,Tobacco marketing / industry tactics,Quit for a week and save a day (smoking cessation funding) (GOV.UK),https://www.gov.uk/government/news/quit-for-a-week-and-save-a-day-say-health-experts,Moonbucks Coffee,1003,Shopping,1931,52,review,high,tobacco_or_nicotine,"The placement is about tobacco marketing and cessation efforts, placing it in the tobacco_or_nicotine review category according to the advertiser's policy. Since Moonbucks Coffee tolerates neutral and general-interest content but tobacco-related content is explicitly a review category, this placement should be marked for review rather than safe or unsafe.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is about tobacco marketing and cessation efforts, placing it in the tobacco_or_nicotine review category according to the advertiser's policy. Since Moonbucks Coffee tolerates neutral and general-interest content but tobacco-related content is explicitly a review category, this placement should be marked for review rather than safe or unsafe."", ""risk_categories"": [""tobacco_or_nicotine""]}"
16,Alt-right propaganda (analysis),AI Tools and the Alt-Right: A Double-Edged Sword for P/CVE (GNET),https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,Moonbucks Coffee,1003,Shopping,2374,229,review,high,hate_or_alt_right;propaganda_or_disinformation,"The placement is an article about Alt-right propaganda, which falls under the advertiser's hard unsafe categories of hate_or_alt_right and propaganda_or_disinformation. However, the content is analytical and published on a shopping channel, possibly for educational or neutral analysis purposes. Because the advertiser can tolerate more neutral news and general-interest content but strictly blocks universal high-risk content, this placement is sensitive and warrants review to confirm context before deeming safe or unsafe.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is an article about Alt-right propaganda, which falls under the advertiser's hard unsafe categories of hate_or_alt_right and propaganda_or_disinformation. However, the content is analytical and published on a shopping channel, possibly for educational or neutral analysis purposes. Because the advertiser can tolerate more neutral news and general-interest content but strictly blocks universal high-risk content, this placement is sensitive and warrants review to confirm context before deeming safe or unsafe."", ""risk_categories"": [""hate_or_alt_right"", ""propaganda_or_disinformation""]}"
17,Alt-right propaganda (analysis),GNET – Global Network on Extremism and Technology (home),https://gnet-research.org/,Jet3 Holidays,1001,Paid Social,9066,182,unsafe,high,propaganda_or_disinformation;extremism,"The placement is on a site dedicated to alt-right propaganda analysis, which directly conflicts with the advertiser's hard unsafe categories including extremism and propaganda_or_disinformation, making this placement unsafe.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a site dedicated to alt-right propaganda analysis, which directly conflicts with the advertiser's hard unsafe categories including extremism and propaganda_or_disinformation, making this placement unsafe."", ""risk_categories"": [""propaganda_or_disinformation"", ""extremism""]}"
18,Alt-right propaganda (analysis),Extremist disinformation networks and narratives during crises (GNET analysis via DISA),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Moonbucks Coffee,1003,Display,7787,343,unsafe,high,propaganda_or_disinformation;hate_or_alt_right;extremism,"The placement is on a page explicitly about alt-right propaganda and extremist disinformation, which are listed as hard unsafe categories by the advertiser's policy. This content clearly violates the advertiser's content restrictions for being high-risk and extremist in nature.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a page explicitly about alt-right propaganda and extremist disinformation, which are listed as hard unsafe categories by the advertiser's policy. This content clearly violates the advertiser's content restrictions for being high-risk and extremist in nature."", ""risk_categories"": [""propaganda_or_disinformation"", ""hate_or_alt_right"", ""extremism""]}"
19,Alt-right propaganda (analysis),Global far-right extremist exploitation of AI and alt-tech (RSIS),https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,Jen & Berry's Ice Cream,1002,PMax,2709,224,unsafe,high,extremism;propaganda_or_disinformation,"The placement is an article explicitly discussing global far-right extremist exploitation of AI and alt-tech, which aligns with the 'extremism' and 'propaganda_or_disinformation' risk categories. Given Jen & Berry's Ice Cream's policy and hard unsafe category for extremism, this placement is unsafe for the advertiser.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement is an article explicitly discussing global far-right extremist exploitation of AI and alt-tech, which aligns with the 'extremism' and 'propaganda_or_disinformation' risk categories. Given Jen & Berry's Ice Cream's policy and hard unsafe category for extremism, this placement is unsafe for the advertiser."", ""risk_categories"": [""extremism"", ""propaganda_or_disinformation""]}"
20,Alt-right propaganda (analysis),"The role of artificial intelligence in radicalisation, recruitment and terrorist propaganda (Frontiers)",https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,Plush Cosmetics,1004,Display,1022,91,unsafe,high,propaganda_or_disinformation;extremism;hate_or_alt_right,"The placement topic explicitly relates to alt-right propaganda and terrorist propaganda, which falls under forbidden categories of extremism, hate or alt-right, and propaganda or disinformation according to the advertiser's hard unsafe categories. Therefore, it is not safe for Plush Cosmetics to place ads here.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement topic explicitly relates to alt-right propaganda and terrorist propaganda, which falls under forbidden categories of extremism, hate or alt-right, and propaganda or disinformation according to the advertiser's hard unsafe categories. Therefore, it is not safe for Plush Cosmetics to place ads here."", ""risk_categories"": [""propaganda_or_disinformation"", ""extremism"", ""hate_or_alt_right""]}"
21,Propaganda & disinformation (research),Generative propaganda: Evidence of AI’s impact from a state-backed disinformation campaign (PNAS Nexus),https://academic.oup.com/pnasnexus/article/4/4/pgaf083/8097936,Plush Cosmetics,1004,Paid Social,8715,127,unsafe,high,propaganda_or_disinformation,"The placement is on a page explicitly focused on propaganda and disinformation, which is listed as a hard unsafe category for the advertiser Plush Cosmetics. Despite the content being research-focused, the direct association with propaganda and disinformation violates the advertiser's safety policy.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement is on a page explicitly focused on propaganda and disinformation, which is listed as a hard unsafe category for the advertiser Plush Cosmetics. Despite the content being research-focused, the direct association with propaganda and disinformation violates the advertiser's safety policy."", ""risk_categories"": [""propaganda_or_disinformation""]}"
22,Propaganda & disinformation (research),Measuring the reach of Russia’s propaganda in the Russia-Ukraine war (RAND),https://www.rand.org/pubs/research_briefs/RBA3450-2.html,Moonbucks Coffee,1003,Display,2936,66,unsafe,high,propaganda_or_disinformation,"The placement URL and topic explicitly concern propaganda and disinformation related to the Russia-Ukraine war, which matches a hard unsafe category for the advertiser. Despite being research, the advertiser's policy blocks universal high-risk content including propaganda or disinformation. Therefore, this placement is unsafe for Moonbucks Coffee.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement URL and topic explicitly concern propaganda and disinformation related to the Russia-Ukraine war, which matches a hard unsafe category for the advertiser. Despite being research, the advertiser's policy blocks universal high-risk content including propaganda or disinformation. Therefore, this placement is unsafe for Moonbucks Coffee."", ""risk_categories"": [""propaganda_or_disinformation""]}"
23,Propaganda & disinformation (research),Global Far-Right Extremist Exploitation of Artificial Intelligence and Alt-Tech (JSTOR record),https://www.jstor.org/stable/48778662,Jet3 Holidays,1001,Paid Social,3461,308,unsafe,high,propaganda_or_disinformation,"The placement is linked to a topic classified as propaganda and disinformation, which is a hard unsafe category for this travel advertiser sensitive to extremist and conflict-related content. The title explicitly references far-right extremist exploitation, indicating relevance to propaganda or disinformation risks. Therefore, the placement is unsafe for Jet3 Holidays under the policy guidelines.",,"{""confidence"": ""high"", ""decision"": ""unsafe"", ""missing_evidence"": [], ""rationale"": ""The placement is linked to a topic classified as propaganda and disinformation, which is a hard unsafe category for this travel advertiser sensitive to extremist and conflict-related content. The title explicitly references far-right extremist exploitation, indicating relevance to propaganda or disinformation risks. Therefore, the placement is unsafe for Jet3 Holidays under the policy guidelines."", ""risk_categories"": [""propaganda_or_disinformation""]}"
24,Propaganda & disinformation (research),"Reports, Papers & Briefings (RUSI publications index)",https://www.rusi.org/explore-our-research/publications/reports-papers-and-briefings,Plush Cosmetics,1004,Shopping,2658,10,review,high,propaganda_or_disinformation,"The placement is on a URL whose topic is explicitly identified as 'Propaganda & disinformation (research),' a hard unsafe category for Plush Cosmetics. Although the content is research-oriented and not direct extremist or propagandistic messaging, the presence of propaganda or disinformation as the main topical classification triggers the hard unsafe category. Given the advertiser's policy to avoid propaganda or disinformation, the placement is not safe. However, because the page appears to be a research publication rather than direct content, a conservative review decision is appropriate.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is on a URL whose topic is explicitly identified as 'Propaganda & disinformation (research),' a hard unsafe category for Plush Cosmetics. Although the content is research-oriented and not direct extremist or propagandistic messaging, the presence of propaganda or disinformation as the main topical classification triggers the hard unsafe category. Given the advertiser's policy to avoid propaganda or disinformation, the placement is not safe. However, because the page appears to be a research publication rather than direct content, a conservative review decision is appropriate."", ""risk_categories"": [""propaganda_or_disinformation""]}"
25,Propaganda & disinformation (research),Extremist disinformation networks and narratives during crises (DISA / GNET),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Jet3 Holidays,1001,PMax,6918,217,review,high,propaganda_or_disinformation,"The placement is on a page about extremist disinformation networks and narratives, directly related to propaganda or disinformation, which is a hard unsafe category for this advertiser. However, the content appears to be research-oriented and analytical rather than promotional or extremist itself. Given the advertiser's sensitivity to propaganda or disinformation, this is a high-risk placement that should be reviewed rather than immediately deemed safe or unsafe.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is on a page about extremist disinformation networks and narratives, directly related to propaganda or disinformation, which is a hard unsafe category for this advertiser. However, the content appears to be research-oriented and analytical rather than promotional or extremist itself. Given the advertiser's sensitivity to propaganda or disinformation, this is a high-risk placement that should be reviewed rather than immediately deemed safe or unsafe."", ""risk_categories"": [""propaganda_or_disinformation""]}"
26,Immigration (UK asylum),Restoring Order and Control: asylum and returns policy statement (GOV.UK),https://www.gov.uk/government/publications/asylum-and-returns-policy-statement/restoring-order-and-control-a-statement-on-the-governments-asylum-and-returns-policy,Moonbucks Coffee,1003,Paid Social,1335,75,review,high,immigration,"The page discusses immigration policy, specifically asylum and returns policy, which falls under the advertiser's review category 'immigration.' Given the sensitivity of immigration topics for Moonbucks Coffee, and that the page is a government policy statement on asylum, placing ads here requires review to ensure alignment with advertiser preferences.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The page discusses immigration policy, specifically asylum and returns policy, which falls under the advertiser's review category 'immigration.' Given the sensitivity of immigration topics for Moonbucks Coffee, and that the page is a government policy statement on asylum, placing ads here requires review to ensure alignment with advertiser preferences."", ""risk_categories"": [""immigration""]}"
27,Immigration (UK asylum),An analysis of the asylum system (UK Parliament committees),https://committees.parliament.uk/work/9508/an-analysis-of-the-asylum-system/,Jen & Berry's Ice Cream,1002,Search,2661,81,review,high,immigration,"The placement is about 'An analysis of the asylum system' with a clear topic of immigration, which is a review category per the advertiser's policy. Although immigration is not a hard unsafe category, it is sensitive and flagged for review to ensure content aligns with the family-friendly brand values. There is no evidence of direct adult themes, tobacco, extremism, or other hard unsafe content.",body content,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [""body content""], ""rationale"": ""The placement is about 'An analysis of the asylum system' with a clear topic of immigration, which is a review category per the advertiser's policy. Although immigration is not a hard unsafe category, it is sensitive and flagged for review to ensure content aligns with the family-friendly brand values. There is no evidence of direct adult themes, tobacco, extremism, or other hard unsafe content."", ""risk_categories"": [""immigration""]}"
28,Immigration (UK asylum),An analysis of the asylum system – summary (NAO PDF),https://www.nao.org.uk/wp-content/uploads/2025/12/an-analysis-of-the-asylum-system-summary.pdf,Moonbucks Coffee,1003,PMax,4511,136,review,high,immigration,"The placement is about immigration, specifically asylum system analysis, which falls under the review category listed by the advertiser's policy. Since Moonbucks Coffee tolerates neutral news and general-interest content but requires review for immigration topics, this placement should be reviewed for suitability.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is about immigration, specifically asylum system analysis, which falls under the review category listed by the advertiser's policy. Since Moonbucks Coffee tolerates neutral news and general-interest content but requires review for immigration topics, this placement should be reviewed for suitability."", ""risk_categories"": [""immigration""]}"
29,Immigration (UK asylum),Mahmood's move to make asylum temporary may undermine refugee convention (The Guardian),https://www.theguardian.com/world/2026/mar/02/shabana-mahmood-refugee-status-change-may-undermine-legal-obligations-law-society,Jet3 Holidays,1001,Shopping,9363,526,review,high,immigration,"The placement URL and title indicate content related to immigration and asylum, directly relating to the travel-adjacent sensitive topic of refugee status and asylum law. The advertiser Jet3 Holidays is extra-sensitive to immigration issues, which are explicitly listed as a review category. No hard unsafe categories are present, but given the sensitivity and direct relevance to immigration, the placement requires review before deemed safe.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement URL and title indicate content related to immigration and asylum, directly relating to the travel-adjacent sensitive topic of refugee status and asylum law. The advertiser Jet3 Holidays is extra-sensitive to immigration issues, which are explicitly listed as a review category. No hard unsafe categories are present, but given the sensitivity and direct relevance to immigration, the placement requires review before deemed safe."", ""risk_categories"": [""immigration""]}"
30,Immigration (UK asylum),Skilled workers fear settled status dream snatched away (The Guardian),https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,Jen & Berry's Ice Cream,1002,Display,9101,481,review,high,immigration,"The placement is on an article discussing UK immigration and asylum issues. Immigration is a sensitive topic flagged under review categories for this advertiser, which is family-friendly and avoids divisive political content. There is no evidence of direct extremism or other hard unsafe content, but the topic requires further contextual review to ensure alignment with brand safety policies.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is on an article discussing UK immigration and asylum issues. Immigration is a sensitive topic flagged under review categories for this advertiser, which is family-friendly and avoids divisive political content. There is no evidence of direct extremism or other hard unsafe content, but the topic requires further contextual review to ensure alignment with brand safety policies."", ""risk_categories"": [""immigration""]}"
31,Immigration (UK policy & practice),Immigration spotlight – Key UK immigration developments 2026 (Hill Dickinson),https://www.hilldickinson.com/our-view/articles/immigration-spotlight-2026/,Jet3 Holidays,1001,Shopping,3812,172,review,high,immigration,"The placement is related to UK immigration policy, which is categorized as a 'review' risk for this advertiser. There is no evidence of hard unsafe categories such as aviation incidents or war. The content may be sensitive to the advertiser due to its immigration topic, and thus is appropriate for review rather than safe or unsafe.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement is related to UK immigration policy, which is categorized as a 'review' risk for this advertiser. There is no evidence of hard unsafe categories such as aviation incidents or war. The content may be sensitive to the advertiser due to its immigration topic, and thus is appropriate for review rather than safe or unsafe."", ""risk_categories"": [""immigration""]}"
32,Immigration (UK policy & practice),Restoring Order and Control (policy statement PDF) (GOV.UK),https://assets.publishing.service.gov.uk/media/691ae05b493305b49ce6e845/Restoring_Order_and_Control_-_A_statement_on_the_Government_s_asylum_and_returns_policy_final.pdf,Jet3 Holidays,1001,Paid Social,9334,475,review,high,immigration,"The placement content is related to immigration policy, which is marked as a review category for this travel advertiser. There is no evidence of hard unsafe categories such as aviation incidents or war-related content. Given the sensitive nature of immigration topics for this advertiser, review is appropriate despite the absence of direct policy violation.",,"{""confidence"": ""high"", ""decision"": ""review"", ""missing_evidence"": [], ""rationale"": ""The placement content is related to immigration policy, which is marked as a review category for this travel advertiser. There is no evidence of hard unsafe categories such as aviation incidents or war-related content. Given the sensitive nature of immigration topics for this advertiser, review is appropriate despite the absence of direct policy violation."", ""risk_categories"": [""immigration""]}"
