placement_id,url,company_name,account_id,channel_type,clicks,invalid_clicks,safety_decision,safety_confidence,risk_categories,matched_signals,safety_rationale
64,https://timesofindia.indiatimes.com/sports/international-sports/iga-swiatek-returns-to-indian-wells-2026-with-a-chance-to-make-history-as-the-first-woman-to-win-the-title-three-times/articleshow/128971466.cms,Plush Cosmetics,1004,Search,8540,459,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
65,https://talksport.com/darts/4019764/luke-littler-nominated-award-lando-norris-rory-mcilroy/,Jet3 Holidays,1001,Shopping,6159,81,unsafe,medium,war_or_conflict,url:war->war_or_conflict,Unsafe for Jet3 Holidays: detected war_or_conflict from raw URL evidence. Signals: url:war->war_or_conflict.
66,https://www.mlb.com/world-baseball-classic,Jen & Berry's Ice Cream,1002,Search,7749,639,review,medium,click_quality,invalid_click_rate:8.2%->click_quality,Review for Jen & Berry's Ice Cream: detected click_quality from raw URL evidence. Signals: invalid_click_rate:8.2%->click_quality.
67,https://www.espn.com/world-baseball-classic/schedule,Moonbucks Coffee,1003,Search,2406,58,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Moonbucks Coffee: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
68,https://www.wbsc.org/en/news/world-baseball-classic-2026-groups-and-schedule-announced,Jet3 Holidays,1001,Search,1669,134,review,medium,click_quality,invalid_click_rate:8.0%->click_quality,Review for Jet3 Holidays: detected click_quality from raw URL evidence. Signals: invalid_click_rate:8.0%->click_quality.
69,https://sports.yahoo.com/mlb/article/world-baseball-classic-2026-schedule-bracket-format-rosters-and-how-to-watch-the-international-baseball-tournament-202329851.html,Jet3 Holidays,1001,Paid Social,1089,13,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jet3 Holidays: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
70,https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,Jen & Berry's Ice Cream,1002,Display,1609,140,review,medium,click_quality,invalid_click_rate:8.7%->click_quality,Review for Jen & Berry's Ice Cream: detected click_quality from raw URL evidence. Signals: invalid_click_rate:8.7%->click_quality.
71,https://www.flyingcarpet.travel/blog/featured/travel-hidden-gems-to-visit-in-2026/,Plush Cosmetics,1004,Paid Social,6065,166,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
72,https://www.haystravel.co.uk/blog/hidden-travel-gems-for-2026-2027-unmissable-adventures-off-the-beaten-path/,Moonbucks Coffee,1003,Display,6920,582,review,medium,click_quality,invalid_click_rate:8.4%->click_quality,Review for Moonbucks Coffee: detected click_quality from raw URL evidence. Signals: invalid_click_rate:8.4%->click_quality.
73,https://www.notjusttravel.com/blog/inspiration/destination-dupes-2026-26-hidden-gems-you-need-to-visit,Jet3 Holidays,1001,Search,4873,194,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jet3 Holidays: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
74,https://nicolestravels.com/hidden-gem-travel-destinations-2026/,Moonbucks Coffee,1003,Search,2632,53,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Moonbucks Coffee: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
75,https://www.jamiewaketravel.co.uk/the-best-underrated-destinations-for-2026,Plush Cosmetics,1004,Display,2786,108,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
76,https://blog.hootsuite.com/social-media-trends/,Jen & Berry's Ice Cream,1002,Shopping,6076,347,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jen & Berry's Ice Cream: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
77,https://www.forbes.com/councils/forbescommunicationscouncil/2026/01/02/the-next-social-wave-the-top-6-predictions-that-will-shape-social-media-strategies-in-2026/,Moonbucks Coffee,1003,Paid Social,7651,567,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Moonbucks Coffee: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
78,https://meetedgar.com/blog/social-media-trends-2026-the-ins-and-outs,Plush Cosmetics,1004,Search,7010,473,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
79,https://www.adobe.com/express/learn/blog/2026-social-media-trends,Jen & Berry's Ice Cream,1002,Search,5128,355,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jen & Berry's Ice Cream: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
80,https://wearesocial.com/uk/blog/2025/10/digital-2026-global-overview-report/,Jen & Berry's Ice Cream,1002,Display,3365,138,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jen & Berry's Ice Cream: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
81,https://www.gq.com/story/bts-begins-again-gq-cover-story-march-2026-interview,Plush Cosmetics,1004,Paid Social,6794,178,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
82,https://thebeat.asia/vibe/celebs-influencers/2026-kpop-comebacks,Plush Cosmetics,1004,PMax,6091,277,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
83,https://kpopnewswire.com/major-k-pop-comebacks-in-2026-bts-blackpink-exo-bigbang-jisoo-and-more/,Jet3 Holidays,1001,Search,7455,456,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jet3 Holidays: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
84,https://kpopofficial.com/kpop-comebacks/,Jen & Berry's Ice Cream,1002,Display,5544,281,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jen & Berry's Ice Cream: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
85,https://kpoparts.com/kpop-comeback-schedule/,Plush Cosmetics,1004,Shopping,7148,468,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Plush Cosmetics: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
86,https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/bts-partners-with-netflix-for-historic-global-arirang-comeback-live-show-everything-you-need-to-know/articleshow/128773938.cms,Jet3 Holidays,1001,PMax,9875,293,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jet3 Holidays: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
87,https://people.com/blackpink-better-together-deadline-mini-album-11915789,Jen & Berry's Ice Cream,1002,Display,5755,293,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jen & Berry's Ice Cream: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
88,https://www.allkpop.com/article/2026/02/bts-reunites-for-gq-march-2026-cover-opens-up-about-comeback-pressure-and-new-album,Jet3 Holidays,1001,Search,1493,108,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Jet3 Holidays: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
89,https://explorekoreanow.com/kpop-comebacks-in-2026/,Moonbucks Coffee,1003,PMax,7352,43,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Moonbucks Coffee: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
90,https://melonbeat.com/2026-k-pop-comeback-schedule-bts-exo-blackpink/,Moonbucks Coffee,1003,Shopping,3976,280,review,low,unknown_content,raw-url-only:no usable title/topic signal,Review for Moonbucks Coffee: detected unknown_content from raw URL evidence. Signals: raw-url-only:no usable title/topic signal.
91,https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,Moonbucks Coffee,1003,Paid Social,7119,519,unsafe,medium,hate_or_alt_right,url:alt right->hate_or_alt_right,Unsafe for Moonbucks Coffee: detected hate_or_alt_right from raw URL evidence. Signals: url:alt right->hate_or_alt_right.
