placement_id,url,company_name,account_id,channel_type,clicks,invalid_clicks
39,https://cis.org/,Jet3 Holidays,1001,Shopping,2437,196
40,https://www.brookings.edu/articles/what-will-2026-bring-for-us-migration-policy/,Jet3 Holidays,1001,PMax,5985,447
41,https://www.ntsb.gov/investigations/AccidentReports/Pages/Reports.aspx,Jen & Berry's Ice Cream,1002,Search,4821,172
42,https://www.ntsb.gov/Pages/AviationQueryv2.aspx,Plush Cosmetics,1004,PMax,6323,261
43,https://www.gov.uk/aaib-reports,Jet3 Holidays,1001,Paid Social,3340,302
44,https://www.gov.uk/government/publications/aaib-current-field-investigations/air-accidents-investigation-branch-current-field-investigations,Moonbucks Coffee,1003,Paid Social,4459,285
45,https://aaib.gov.in/,Moonbucks Coffee,1003,Display,4613,213
46,https://aviation-safety.net/,Plush Cosmetics,1004,Display,7994,360
47,https://aviation-safety.net/investigation/,Jen & Berry's Ice Cream,1002,Paid Social,4518,405
48,https://www.gov.uk/government/organisations/air-accidents-investigation-branch,Moonbucks Coffee,1003,Search,1218,89
49,https://assets.publishing.service.gov.uk/media/695e2ec58ab0677c14afdfac/AAIB_Bulletin_1-2026.pdf,Jet3 Holidays,1001,PMax,5909,1
50,https://www.ntsb.gov/investigations/Pages/DCA25MA108.aspx,Jet3 Holidays,1001,Paid Social,8196,2
51,https://www.thesun.ie/travel/16589097/ryanair-flight-cork-avoids-crash-plane-spain/,Moonbucks Coffee,1003,PMax,8082,344
52,https://www.newindianexpress.com/nation/2026/Feb/27/aaib-misses-one-month-deadline-for-releasing-baramati-air-crash-preliminary-report,Jet3 Holidays,1001,Paid Social,1458,3
53,https://timesofindia.indiatimes.com/india/preliminary-report-into-baramati-crash-out-low-visibility-operational-gaps-cited/articleshow/128886790.cms,Jen & Berry's Ice Cream,1002,Shopping,4549,145
54,https://apnews.com/article/fa0fc75d46823eb2dd39f815de2d021f,Plush Cosmetics,1004,Shopping,7409,142
55,https://www.gov.uk/aaib-reports,Plush Cosmetics,1004,Display,5996,392
56,https://www.topendsports.com/events/calendar-2026.htm,Moonbucks Coffee,1003,Shopping,5741,392
57,https://content.sport-social.co.uk/blog/2026-sporting-calendar-major-sports-events,Plush Cosmetics,1004,Search,5955,363
58,https://www.sportscoverdirect.com/scd-blog/sports-events-calendar-2026/,Jet3 Holidays,1001,Shopping,5558,175
59,https://www.visitbritain.org/news-and-media/destination-news-and-inspiration/looking-ahead-britains-sporting-highlights-2026,Plush Cosmetics,1004,Search,9446,180
60,https://www.espn.com/pll/story/_/id/48033101/2026-pll-wll-championship-series-lacrosse-sixes-top-players-teams-schedule,Jet3 Holidays,1001,PMax,8627,4
61,https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,Moonbucks Coffee,1003,Search,6609,470
62,https://timesofindia.indiatimes.com/sports/mlb/news/team-usa-sets-its-best-starting-pitchers-with-cy-young-winners-leading-the-way-for-world-baseball-classic-opener/articleshow/128957698.cms,Jen & Berry's Ice Cream,1002,PMax,7432,515
63,https://www.barcablaugranes.com/barcelona-copa-del-rey/114048/barcelona-atletico-madrid-copa-del-rey-team-news-preview-lineups-score-prediction,Jen & Berry's Ice Cream,1002,Display,1734,79
64,https://timesofindia.indiatimes.com/sports/international-sports/iga-swiatek-returns-to-indian-wells-2026-with-a-chance-to-make-history-as-the-first-woman-to-win-the-title-three-times/articleshow/128971466.cms,Plush Cosmetics,1004,Search,8540,459
65,https://talksport.com/darts/4019764/luke-littler-nominated-award-lando-norris-rory-mcilroy/,Jet3 Holidays,1001,Shopping,6159,81
66,https://www.mlb.com/world-baseball-classic,Jen & Berry's Ice Cream,1002,Search,7749,639
67,https://www.espn.com/world-baseball-classic/schedule,Moonbucks Coffee,1003,Search,2406,58
68,https://www.wbsc.org/en/news/world-baseball-classic-2026-groups-and-schedule-announced,Jet3 Holidays,1001,Search,1669,134
69,https://sports.yahoo.com/mlb/article/world-baseball-classic-2026-schedule-bracket-format-rosters-and-how-to-watch-the-international-baseball-tournament-202329851.html,Jet3 Holidays,1001,Paid Social,1089,13
70,https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,Jen & Berry's Ice Cream,1002,Display,1609,140
71,https://www.flyingcarpet.travel/blog/featured/travel-hidden-gems-to-visit-in-2026/,Plush Cosmetics,1004,Paid Social,6065,166
72,https://www.haystravel.co.uk/blog/hidden-travel-gems-for-2026-2027-unmissable-adventures-off-the-beaten-path/,Moonbucks Coffee,1003,Display,6920,582
73,https://www.notjusttravel.com/blog/inspiration/destination-dupes-2026-26-hidden-gems-you-need-to-visit,Jet3 Holidays,1001,Search,4873,194
74,https://nicolestravels.com/hidden-gem-travel-destinations-2026/,Moonbucks Coffee,1003,Search,2632,53
75,https://www.jamiewaketravel.co.uk/the-best-underrated-destinations-for-2026,Plush Cosmetics,1004,Display,2786,108
76,https://blog.hootsuite.com/social-media-trends/,Jen & Berry's Ice Cream,1002,Shopping,6076,347
77,https://www.forbes.com/councils/forbescommunicationscouncil/2026/01/02/the-next-social-wave-the-top-6-predictions-that-will-shape-social-media-strategies-in-2026/,Moonbucks Coffee,1003,Paid Social,7651,567
78,https://meetedgar.com/blog/social-media-trends-2026-the-ins-and-outs,Plush Cosmetics,1004,Search,7010,473
79,https://www.adobe.com/express/learn/blog/2026-social-media-trends,Jen & Berry's Ice Cream,1002,Search,5128,355
80,https://wearesocial.com/uk/blog/2025/10/digital-2026-global-overview-report/,Jen & Berry's Ice Cream,1002,Display,3365,138
81,https://www.gq.com/story/bts-begins-again-gq-cover-story-march-2026-interview,Plush Cosmetics,1004,Paid Social,6794,178
82,https://thebeat.asia/vibe/celebs-influencers/2026-kpop-comebacks,Plush Cosmetics,1004,PMax,6091,277
83,https://kpopnewswire.com/major-k-pop-comebacks-in-2026-bts-blackpink-exo-bigbang-jisoo-and-more/,Jet3 Holidays,1001,Search,7455,456
84,https://kpopofficial.com/kpop-comebacks/,Jen & Berry's Ice Cream,1002,Display,5544,281
85,https://kpoparts.com/kpop-comeback-schedule/,Plush Cosmetics,1004,Shopping,7148,468
86,https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/bts-partners-with-netflix-for-historic-global-arirang-comeback-live-show-everything-you-need-to-know/articleshow/128773938.cms,Jet3 Holidays,1001,PMax,9875,293
87,https://people.com/blackpink-better-together-deadline-mini-album-11915789,Jen & Berry's Ice Cream,1002,Display,5755,293
88,https://www.allkpop.com/article/2026/02/bts-reunites-for-gq-march-2026-cover-opens-up-about-comeback-pressure-and-new-album,Jet3 Holidays,1001,Search,1493,108
89,https://explorekoreanow.com/kpop-comebacks-in-2026/,Moonbucks Coffee,1003,PMax,7352,43
90,https://melonbeat.com/2026-k-pop-comeback-schedule-bts-exo-blackpink/,Moonbucks Coffee,1003,Shopping,3976,280
91,https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,Moonbucks Coffee,1003,Paid Social,7119,519
92,https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,Jet3 Holidays,1001,Shopping,7065,568
93,https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,Plush Cosmetics,1004,PMax,6409,318
94,https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Jen & Berry's Ice Cream,1002,Shopping,3196,280
95,https://gnet-research.org/,Jet3 Holidays,1001,Display,5823,331
96,https://resq.com/why-do-airplanes-crash/,Jen & Berry's Ice Cream,1002,Shopping,8557,98
97,https://interestingengineering.com/transportation/why-modern-planes-still-crash,Plush Cosmetics,1004,Search,9591,20
98,https://www.ntsb.gov/investigations/AccidentReports/Pages/Reports.aspx,Moonbucks Coffee,1003,Search,3822,15
99,https://aviation-safety.net/investigation/,Jen & Berry's Ice Cream,1002,Shopping,8296,581
100,https://www.gov.uk/aaib-reports,Plush Cosmetics,1004,Display,5794,79
101,https://www.olivemagazine.com/recipes/collection/best-ever-one-pot-pasta-recipe-collection/,Jen & Berry's Ice Cream,1002,Shopping,1836,150
102,https://www.recipetineats.com/category/pasta-recipes/one-pot-pasta-recipes/,Jen & Berry's Ice Cream,1002,Shopping,6194,414
103,https://www.foodnetwork.com/recipes/packages/comfort-foods/easy-one-pot-meals/one-pot-pastas,Jet3 Holidays,1001,Shopping,1297,124
104,https://www.thekitchn.com/one-pot-pasta-recipes-261459,Jet3 Holidays,1001,Display,9256,21
105,https://uk.style.yahoo.com/17-satisfying-one-pot-pasta-170200817.html,Jet3 Holidays,1001,PMax,7039,346
106,https://www.thetravelmagazine.net/articles/,Moonbucks Coffee,1003,Shopping,1855,11
107,https://www.independent.co.uk/travel,Plush Cosmetics,1004,Paid Social,5298,154
108,https://holiday.saga.co.uk/blog,Moonbucks Coffee,1003,Paid Social,9048,569
109,https://www.independent.co.uk/travel,Jet3 Holidays,1001,Paid Social,5994,411
110,https://www.thetravelmagazine.net/articles/,Jen & Berry's Ice Cream,1002,PMax,2822,265
111,https://www.theverge.com/tech/882992/mobile-world-congress-mwc-2026-smartphones-laptops-headphones,Jet3 Holidays,1001,PMax,3425,295
112,https://apnews.com/article/b23e8c9c51c2d09e772fe8709b867ca7,Jen & Berry's Ice Cream,1002,Display,3841,383
113,https://www.itpro.com/infrastructure/networking/ericsson-maps-out-the-road-to-fully-commercial-6g-networks-at-mwc-2026,Plush Cosmetics,1004,Paid Social,3347,16
114,https://www.techtimes.com/articles/313559/20251231/top-technology-trends-that-will-shape-2026-emerging-tech-what-expect-next-year.htm,Plush Cosmetics,1004,Shopping,6121,19
115,https://www.forbes.com/councils/forbestechcouncil/2025/12/22/the-most-impactful-business-technology-trends-to-watch-for-2026/,Plush Cosmetics,1004,Search,7303,724
116,https://schoolofsexed.org/blog,Jen & Berry's Ice Cream,1002,Paid Social,2066,113
117,https://educationhub.blog.gov.uk/2025/07/new-rshe-guidance-what-parents-need-to-know/,Jen & Berry's Ice Cream,1002,Search,6552,119
118,https://www.sciencedirect.com/science/article/pii/S1054139X25002344,Jen & Berry's Ice Cream,1002,Display,8766,125
119,https://schoolofsexed.org/blog,Jen & Berry's Ice Cream,1002,Display,5779,347
120,https://schoolofsexed.org/blog,Plush Cosmetics,1004,Paid Social,7746,152
121,https://heathercoxrichardson.substack.com/,Plush Cosmetics,1004,Paid Social,6719,623
122,https://heathercoxrichardson.substack.com/p/politics-chat-february-26-2026,Jet3 Holidays,1001,Paid Social,6765,513
123,https://samf.substack.com/,Plush Cosmetics,1004,Paid Social,2858,108
124,https://democracyforsale.substack.com/,Jet3 Holidays,1001,Shopping,1386,20
125,https://dominiccummings.substack.com/,Moonbucks Coffee,1003,Shopping,8263,718
126,https://www.theguardian.com/world/2026/mar/03/ukraine-war-briefing-russia-army-records-slowest-advance-since-2024-amid-starlink-cut-data-shows,Jen & Berry's Ice Cream,1002,Search,1588,20
127,https://www.ft.com/content/8f5f18fb-311d-4df0-805c-063b292506b3,Plush Cosmetics,1004,Shopping,5102,339
128,https://www.aljazeera.com/news/2026/2/27/russia-ukraine-war-list-of-key-events-day-1464,Plush Cosmetics,1004,Search,2223,108
129,https://www.ft.com/war-in-ukraine,Jen & Berry's Ice Cream,1002,Paid Social,2390,74
130,https://www.bloomberg.com/latest/russia-ukraine-war,Plush Cosmetics,1004,Paid Social,2770,174
131,https://www.rand.org/pubs/research_reports/RRA4360-2.html,Moonbucks Coffee,1003,Paid Social,7384,261
132,https://www.britannica.com/procon/gun-control-debate,Jet3 Holidays,1001,Search,1945,74
133,https://publichealth.jhu.edu/center-for-gun-violence-solutions/data/national-survey-of-gun-policy,Jet3 Holidays,1001,Search,4836,200
134,https://hsph.harvard.edu/research/injury-control/firearms-research/policy-evaluation/,Jet3 Holidays,1001,Display,8951,352
135,https://journals.sagepub.com/doi/pdf/10.1177/00027162231174162?download=true,Plush Cosmetics,1004,PMax,2184,179
136,https://www.gamespot.com/gallery/the-best-games-of-2026/2900-7436/,Jen & Berry's Ice Cream,1002,Shopping,7760,402
137,https://www.gamesradar.com/games/big-in-2026-the-ultimate-guide-to-the-video-games-that-will-shape-2026-and-beyond/,Moonbucks Coffee,1003,PMax,7693,307
138,https://www.techradar.com/gaming/most-anticipated-games-of-2026,Jet3 Holidays,1001,Search,7717,312
139,https://www.avclub.com/2026-video-games-preview,Plush Cosmetics,1004,Display,8519,773
140,https://blog.mavigadget.com/video-games-2026-key-trends-shaping-the-future-of-play/,Plush Cosmetics,1004,Shopping,4275,182
141,https://unu.edu/ehs/article/5-things-watch-climate-and-environment-2026,Plush Cosmetics,1004,PMax,8869,763
142,https://www.wri.org/insights/stories-to-watch-climate-economy-2026,Jen & Berry's Ice Cream,1002,Paid Social,4093,273
143,https://www.weforum.org/stories/2026/02/2026-global-risks-report-environmental-risks-remain-urgent/,Moonbucks Coffee,1003,Shopping,1201,64
144,https://www.msci.com/research-and-insights/blog-post/sustainability-and-climate-in-focus-trends-to-watch-for-2026,Moonbucks Coffee,1003,Display,4213,115
145,https://www.theguardian.com/environment/2026/mar/03/australia-summer-extreme-weather-wettest-hottest-records,Plush Cosmetics,1004,Shopping,1451,50
146,https://www.nasaspaceflight.com/2026/01/space-science-2026-preview/,Moonbucks Coffee,1003,PMax,4333,309
147,https://science.nasa.gov/mars/stories/,Jen & Berry's Ice Cream,1002,Paid Social,4387,164
148,https://www.space.com/space-exploration/mars-rovers/curiosity-rover-finds-clues-to-mars-watery-past-in-rocky-spiderwebs,Plush Cosmetics,1004,Paid Social,4412,123
149,https://arstechnica.com/space/2026/02/a-non-public-document-reveals-that-science-may-not-be-prioritized-on-next-mars-mission/,Plush Cosmetics,1004,Display,9233,286
150,https://thedebrief.org/2026-space-outlook-new-missions-look-to-the-moon-mars-and-beyond-as-humanity-seeks-permanent-space-habitation/,Jen & Berry's Ice Cream,1002,Shopping,6995,229
151,https://www.uclahealth.org/news/article/nine-mental-health-tips-happier-2026,Moonbucks Coffee,1003,Paid Social,1236,41
152,https://www.mentalhealth.org.uk/explore-mental-health/blogs,Moonbucks Coffee,1003,PMax,8941,16
153,https://mentalhealth-uk.org/blog/mental-health-uks-new-strategy-for-2026-2031-our-plan-for-a-mentally-healthier-and-thriving-uk/,Moonbucks Coffee,1003,PMax,7764,323
154,https://www.parinc.com/learning-center/par-blog/detail/blog/2025/12/19/six-mental-health-resolutions-worth-setting-for-2026,Plush Cosmetics,1004,Search,8927,312
155,https://www.verywellmind.com/floor-time-11917599,Moonbucks Coffee,1003,Search,8115,256
156,https://www.gardenersworld.com/garden-advice/beginner-gardening/,Moonbucks Coffee,1003,Paid Social,2362,186
157,https://gardenersnewmalden.org.uk/blog/beginners-guide-to-gardening-9-key-tips-for-your-first-garden/,Moonbucks Coffee,1003,Display,6544,640
158,https://www.gardenerbasics.com/blog/gardening-tips-for-beginners,Plush Cosmetics,1004,Search,8882,383
159,https://gardenersshepherdsbush.org.uk/blog/essential-gardening-guide-9-tips-for-newcomers/,Moonbucks Coffee,1003,Shopping,2939,241
160,https://gardenerswembley.org.uk/blog/prepare-to-plant-9-essential-gardening-tips-for-newbies/,Jen & Berry's Ice Cream,1002,PMax,5398,352
161,https://www.ft.com/content/b85bb03a-28ed-4f9e-b458-0b80c63d9d93,Jet3 Holidays,1001,Shopping,4396,0
162,https://www.nga.gov/stories/articles,Plush Cosmetics,1004,Shopping,3966,310
163,https://www.smithsonianmag.com/tag/art-history/,Jet3 Holidays,1001,Display,2183,103
164,https://daily.jstor.org/jstor-dailys-archives-of-art-history/,Moonbucks Coffee,1003,PMax,6263,587
165,https://archives.history.ac.uk/makinghistory/resources/articles/art_history.html,Jet3 Holidays,1001,PMax,9630,847
166,https://www.gov.uk/government/publications/the-uks-international-education-strategy-2026,Moonbucks Coffee,1003,Shopping,6028,230
167,https://ifs.org.uk/publications/annual-report-education-spending-england-2025-26,Moonbucks Coffee,1003,Paid Social,1534,76
168,https://www.tes.com/magazine/analysis/general/2026-pivotal-year-school-workforce,Plush Cosmetics,1004,Search,1946,166
169,https://www.cambridge.org/partnership/news-and-events/news/a-year-of-possibility-turning-education-system-challenges-into-opportunities-in-2026,Jen & Berry's Ice Cream,1002,Shopping,3347,115
170,https://www.theguardian.com/education/2026/feb/24/send-plan-for-england-gets-cautious-welcome-amid-workload-concerns,Plush Cosmetics,1004,Search,3383,184
171,https://research.checkpoint.com/2026/cyber-security-report-2026/,Jen & Berry's Ice Cream,1002,Paid Social,8451,417
172,https://www.fortinet.com/content/dam/fortinet/assets/threat-reports/report-threat-predictions-2026.pdf,Moonbucks Coffee,1003,Display,2583,57
173,https://www.guidepointsecurity.com/wp-content/uploads/2026/01/GRIT-2026-Ransomware-and-Cyber-Threat-Report.pdf,Moonbucks Coffee,1003,Shopping,4122,255
174,https://cyberstrategyinstitute.com/2026-ransomware-reality-report/,Moonbucks Coffee,1003,Display,8006,394
175,https://ibimapublishing.com/articles/JIACS/2026/387036/,Jen & Berry's Ice Cream,1002,PMax,2623,156
176,https://www.hostinger.com/tutorials/entrepreneurship-blog,Jet3 Holidays,1001,Search,7848,436
177,https://bloggers.feedspot.com/startup_blogs/,Jet3 Holidays,1001,Paid Social,5327,49
178,https://www.outsourceaccelerator.com/articles/startup-blogs/,Jet3 Holidays,1001,Paid Social,4384,153
179,https://resources.s45.ai/blogs/best-startup-blogs-entrepreneurs,Plush Cosmetics,1004,Search,9921,276
180,https://www.startuplinkx.com/post/100-must-read-blogs-for-startup-founders-in-2025,Moonbucks Coffee,1003,Display,8985,395
181,https://www.footballwebpages.co.uk/premier-league/fixtures-results/march,Moonbucks Coffee,1003,Shopping,5584,19
182,https://www.statmuse.com/fc/ask/premier-league-fixtures-march-2026,Plush Cosmetics,1004,Display,4822,463
183,https://sports.yahoo.com/articles/newcastle-2-3-everton-match-140000695.html,Plush Cosmetics,1004,Display,9500,506
184,https://www.thetimes.com/sport/football/article/birmingham-city-middlesbrough-championship-score-result-report-zckg686m3,Moonbucks Coffee,1003,Shopping,3709,229
185,https://www.premierleague.com/en/media/publications,Moonbucks Coffee,1003,Shopping,9185,11
186,https://movieweb.com/every-movie-theaters-march-2026/,Jen & Berry's Ice Cream,1002,Display,4827,61
187,https://screenrant.com/march-2026-movies-theaters-release-dates/,Jet3 Holidays,1001,Search,2589,60
188,https://www.marketwatch.com/story/heres-whats-worth-streaming-in-march-2026-on-netflix-hulu-hbo-max-and-more-83f5b64d,Plush Cosmetics,1004,PMax,4705,128
189,https://variety.com/lists/best-movies-streaming-march-2026/,Jet3 Holidays,1001,Search,5802,389
190,https://www.techradar.com/streaming/7-new-horror-movies-on-netflix-shudder-hbo-max-and-more-in-march-2026,Plush Cosmetics,1004,Search,5615,28
191,https://www.waterstones.com/blog/the-books-you-need-to-read-in-2026,Moonbucks Coffee,1003,Display,4930,376
192,https://www.penguin.co.uk/discover/articles/best-must-read-books-2026,Jet3 Holidays,1001,Search,3840,289
193,https://www.publishersweekly.com/pw/by-topic/new-titles/adult-announcements/article/99233-spring-2026-fiction-nonfiction-preview-literary-fiction.html,Plush Cosmetics,1004,Search,7543,409
194,https://www.newyorker.com/best-books-2026,Plush Cosmetics,1004,Paid Social,6467,222
195,https://www.vogue.com/article/best-books-of-2026,Jen & Berry's Ice Cream,1002,Paid Social,7960,606
196,https://pitchfork.com/reviews/albums/,Jen & Berry's Ice Cream,1002,Shopping,3582,139
197,https://pitchfork.com/reviews/albums/jackie-west-silent-century,Moonbucks Coffee,1003,Search,1146,39
198,https://pitchfork.com/reviews/albums/skaiwater-wonderful,Plush Cosmetics,1004,PMax,2830,131
199,https://www.stereogum.com/2483786/2026-albums-release-list/lists/album-list,Jet3 Holidays,1001,PMax,6611,68
200,https://variety.com/2026/music/album-reviews/bruno-mars-the-romantic-album-review-1236674615/,Moonbucks Coffee,1003,Display,4271,27
201,https://www.youtube.com/watch?v=0e3GPea1Tyg,Moonbucks Coffee,1003,Youtube,1539,2
202,https://www.youtube.com/watch?v=9bqk6ZUsKyA,Plush Cosmetics,1004,Youtube,4385,322
203,https://www.youtube.com/watch?v=TJ2ifmkGGus,Plush Cosmetics,1004,Youtube,9447,425
204,https://www.youtube.com/watch?v=zajUgQLviwk,Jen & Berry's Ice Cream,1002,Youtube,2409,135
205,https://www.youtube.com/watch?v=ndAQfTzlVjc,Jen & Berry's Ice Cream,1002,Youtube,8661,495
206,https://www.youtube.com/watch?v=sESRuTyfsEk,Moonbucks Coffee,1003,Youtube,5901,1331
207,https://www.youtube.com/watch?v=qkzJRqUO_VE,Plush Cosmetics,1004,Youtube,2682,200
208,https://www.youtube.com/watch?v=7IKab3HcfFk,Jet3 Holidays,1001,Youtube,1479,12
209,https://www.youtube.com/watch?v=Hwybp38GnZw,Moonbucks Coffee,1003,Youtube,2374,75
210,https://www.youtube.com/watch?v=r7zJ8srwwjk,Moonbucks Coffee,1003,Youtube,6737,599
211,https://www.youtube.com/watch?v=X_KXvjOJ7YA,Plush Cosmetics,1004,Youtube,4320,143
212,https://www.youtube.com/watch?v=3myXWQmI1Hk,Plush Cosmetics,1004,Youtube,1109,109
213,https://www.youtube.com/watch?v=UNYBy19S6GA,Jen & Berry's Ice Cream,1002,Youtube,1595,292
214,https://www.youtube.com/watch?v=efBB0D4tf1Y,Jen & Berry's Ice Cream,1002,Youtube,9064,300
215,https://www.youtube.com/watch?v=yINwbJ6kSZU,Moonbucks Coffee,1003,Youtube,1931,52
216,https://www.youtube.com/watch?v=M3uD7HlBDD0,Plush Cosmetics,1004,Youtube,2374,229
217,https://www.youtube.com/watch?v=2El1NWjM8pY,Jet3 Holidays,1001,Youtube,9066,182
218,https://www.youtube.com/watch?v=OogznCaVZfU,Moonbucks Coffee,1003,Youtube,7787,343
219,https://www.youtube.com/watch?v=Izr0xpR9U2A,Moonbucks Coffee,1003,Youtube,2709,224
220,https://www.youtube.com/watch?v=gLofWjrc91M,Plush Cosmetics,1004,Youtube,1022,9
221,https://www.youtube.com/watch?v=cb5038XFr7o,Plush Cosmetics,1004,Youtube,8715,127
222,https://www.youtube.com/watch?v=ppo52N_-lr0,Jen & Berry's Ice Cream,1002,Youtube,70,1
223,https://www.youtube.com/watch?v=LbYgxmiksvY,Jen & Berry's Ice Cream,1002,Youtube,45,2
224,https://www.youtube.com/watch?v=n7olTKux4tk,Moonbucks Coffee,1003,Youtube,300,30
225,https://www.youtube.com/watch?v=_pLSLPcZYVg,Plush Cosmetics,1004,Youtube,1479,12
