placement_id,topic,title,url,company_name,account_id,channel_type,clicks,invalid_clicks
19,Alt-right propaganda (analysis),Global far-right extremist exploitation of AI and alt-tech (RSIS),https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,Jen & Berry's Ice Cream,1002,PMax,2709,224
20,Alt-right propaganda (analysis),"The role of artificial intelligence in radicalisation, recruitment and terrorist propaganda (Frontiers)",https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,Plush Cosmetics,1004,Display,1022,91
21,Propaganda & disinformation (research),Generative propaganda: Evidence of AI’s impact from a state-backed disinformation campaign (PNAS Nexus),https://academic.oup.com/pnasnexus/article/4/4/pgaf083/8097936,Plush Cosmetics,1004,Paid Social,8715,127
22,Propaganda & disinformation (research),Measuring the reach of Russia’s propaganda in the Russia-Ukraine war (RAND),https://www.rand.org/pubs/research_briefs/RBA3450-2.html,Moonbucks Coffee,1003,Display,2936,66
23,Propaganda & disinformation (research),Global Far-Right Extremist Exploitation of Artificial Intelligence and Alt-Tech (JSTOR record),https://www.jstor.org/stable/48778662,Jet3 Holidays,1001,Paid Social,3461,308
24,Propaganda & disinformation (research),"Reports, Papers & Briefings (RUSI publications index)",https://www.rusi.org/explore-our-research/publications/reports-papers-and-briefings,Plush Cosmetics,1004,Shopping,2658,10
25,Propaganda & disinformation (research),Extremist disinformation networks and narratives during crises (DISA / GNET),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Jet3 Holidays,1001,PMax,6918,217
26,Immigration (UK asylum),Restoring Order and Control: asylum and returns policy statement (GOV.UK),https://www.gov.uk/government/publications/asylum-and-returns-policy-statement/restoring-order-and-control-a-statement-on-the-governments-asylum-and-returns-policy,Moonbucks Coffee,1003,Paid Social,1335,75
27,Immigration (UK asylum),An analysis of the asylum system (UK Parliament committees),https://committees.parliament.uk/work/9508/an-analysis-of-the-asylum-system/,Jen & Berry's Ice Cream,1002,Search,2661,81
28,Immigration (UK asylum),An analysis of the asylum system – summary (NAO PDF),https://www.nao.org.uk/wp-content/uploads/2025/12/an-analysis-of-the-asylum-system-summary.pdf,Moonbucks Coffee,1003,PMax,4511,136
29,Immigration (UK asylum),Mahmood's move to make asylum temporary may undermine refugee convention (The Guardian),https://www.theguardian.com/world/2026/mar/02/shabana-mahmood-refugee-status-change-may-undermine-legal-obligations-law-society,Jet3 Holidays,1001,Shopping,9363,526
30,Immigration (UK asylum),Skilled workers fear settled status dream snatched away (The Guardian),https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,Jen & Berry's Ice Cream,1002,Display,9101,481
31,Immigration (UK policy & practice),Immigration spotlight – Key UK immigration developments 2026 (Hill Dickinson),https://www.hilldickinson.com/our-view/articles/immigration-spotlight-2026/,Jet3 Holidays,1001,Shopping,3812,172
32,Immigration (UK policy & practice),Restoring Order and Control (policy statement PDF) (GOV.UK),https://assets.publishing.service.gov.uk/media/691ae05b493305b49ce6e845/Restoring_Order_and_Control_-_A_statement_on_the_Government_s_asylum_and_returns_policy_final.pdf,Jet3 Holidays,1001,Paid Social,9334,475
33,Immigration (UK policy & practice),ILR UK news: Key immigration changes for 2026 (Axis Solicitors blog),https://axis.lawyer/ilr-uk-news-key-immigration-changes-for-2026/,Jet3 Holidays,1001,Paid Social,8647,362
34,Immigration (UK policy & practice),Kemi Badenoch: UK risks splitting into 'parallel societies' (The Times),https://www.thetimes.com/uk/politics/article/kemi-badenoch-integration-equality-law-2l3thbkr6,Plush Cosmetics,1004,Search,2026,138
35,Immigration (UK policy & practice),Treat us fairly: skilled workers and settled status proposals (The Guardian),https://www.theguardian.com/uk-news/2026/mar/03/skilled-workers-settled-status-in-uk-snatched-away,Plush Cosmetics,1004,Display,6164,5
36,Immigration (US policy),What will 2026 bring for US migration policy? (Brookings),https://www.brookings.edu/articles/what-will-2026-bring-for-us-migration-policy/,Jen & Berry's Ice Cream,1002,Search,5085,436
37,Immigration (US policy),How Americans view key Trump administration immigration policies (Pew Research Center),https://www.pewresearch.org/politics/2026/01/29/how-americans-view-key-trump-administration-immigration-policies/,Plush Cosmetics,1004,PMax,6321,424
38,Immigration (US policy),Texas congressman calls for halt of all U.S. immigration after Austin shooting (Houston Chronicle),https://www.chron.com/news/article/austin-shooting-chip-roy-21951254.php,Jen & Berry's Ice Cream,1002,Search,9805,16
39,Immigration (US policy),Center for Immigration Studies (CIS) – research organization (home),https://cis.org/,Jet3 Holidays,1001,Shopping,2437,196
40,Immigration (US policy),What will 2026 bring for US migration policy? (Brookings – same article),https://www.brookings.edu/articles/what-will-2026-bring-for-us-migration-policy/,Jet3 Holidays,1001,PMax,5985,447
41,Flight disasters (investigations),Investigation Report – Accident Reports (NTSB),https://www.ntsb.gov/investigations/AccidentReports/Pages/Reports.aspx,Jen & Berry's Ice Cream,1002,Search,4821,172
42,Flight disasters (investigations),NTSB Aviation Investigation Search (database),https://www.ntsb.gov/Pages/AviationQueryv2.aspx,Plush Cosmetics,1004,PMax,6323,261
43,Flight disasters (investigations),Air Accidents Investigation Branch reports (GOV.UK),https://www.gov.uk/aaib-reports,Jet3 Holidays,1001,Paid Social,3340,302
44,Flight disasters (investigations),AAIB current field investigations (GOV.UK),https://www.gov.uk/government/publications/aaib-current-field-investigations/air-accidents-investigation-branch-current-field-investigations,Moonbucks Coffee,1003,Paid Social,4459,285
45,Flight disasters (investigations),Aircraft Accident Investigation Bureau (India) – preliminary reports (home),https://aaib.gov.in/,Moonbucks Coffee,1003,Display,4613,213
46,Flight disasters (databases),Aviation Safety Network (home),https://aviation-safety.net/,Plush Cosmetics,1004,Display,7994,360
47,Flight disasters (databases),Recently issued accident investigation reports (Aviation Safety Network),https://aviation-safety.net/investigation/,Jen & Berry's Ice Cream,1002,Paid Social,4518,405
48,Flight disasters (databases),Air Accidents Investigation Branch (organisation page) (GOV.UK),https://www.gov.uk/government/organisations/air-accidents-investigation-branch,Moonbucks Coffee,1003,Search,1218,89
49,Flight disasters (databases),Air Accidents Investigation Branch bulletin 1/2026 (PDF),https://assets.publishing.service.gov.uk/media/695e2ec58ab0677c14afdfac/AAIB_Bulletin_1-2026.pdf,Jet3 Holidays,1001,PMax,5909,1
50,Flight disasters (databases),DCA25MA108 – NTSB investigation page,https://www.ntsb.gov/investigations/Pages/DCA25MA108.aspx,Jet3 Holidays,1001,Paid Social,8196,2
51,Flight incidents / near-misses,Ryanair flight narrowly avoids crash at Seville Airport; investigation cited (The Sun Ireland),https://www.thesun.ie/travel/16589097/ryanair-flight-cork-avoids-crash-plane-spain/,Moonbucks Coffee,1003,PMax,8082,344
52,Flight incidents / near-misses,AAIB misses one-month deadline for Baramati crash preliminary report (New Indian Express),https://www.newindianexpress.com/nation/2026/Feb/27/aaib-misses-one-month-deadline-for-releasing-baramati-air-crash-preliminary-report,Jet3 Holidays,1001,Paid Social,1458,3
53,Flight incidents / near-misses,"Preliminary report into Baramati crash: low visibility, operational gaps cited (Times of India)",https://timesofindia.indiatimes.com/india/preliminary-report-into-baramati-crash-out-low-visibility-operational-gaps-cited/articleshow/128886790.cms,Jen & Berry's Ice Cream,1002,Shopping,4549,145
54,Flight incidents / near-misses,"Turkish Air Force F-16 crashes near highway, pilot killed (AP News)",https://apnews.com/article/fa0fc75d46823eb2dd39f815de2d021f,Plush Cosmetics,1004,Shopping,7409,142
55,Flight incidents / near-misses,AAIB reports index (GOV.UK) (searchable list),https://www.gov.uk/aaib-reports,Plush Cosmetics,1004,Display,5996,392
56,Sport competitions (calendar),2026 World Sporting Event Calendar (Topend Sports),https://www.topendsports.com/events/calendar-2026.htm,Moonbucks Coffee,1003,Shopping,5741,392
57,Sport competitions (calendar),2026 sporting calendar: major sports events worldwide (Sport Social),https://content.sport-social.co.uk/blog/2026-sporting-calendar-major-sports-events,Plush Cosmetics,1004,Search,5955,363
58,Sport competitions (calendar),Sports Events Calendar 2026 (SportsCover Direct),https://www.sportscoverdirect.com/scd-blog/sports-events-calendar-2026/,Jet3 Holidays,1001,Shopping,5558,175
59,Sport competitions (calendar),Looking ahead: Britain’s sporting highlights in 2026 (VisitBritain),https://www.visitbritain.org/news-and-media/destination-news-and-inspiration/looking-ahead-britains-sporting-highlights-2026,Plush Cosmetics,1004,Search,9446,180
60,Sport competitions (calendar),"2026 PLL, WLL Championship Series: Preview, schedule, rosters (ESPN)",https://www.espn.com/pll/story/_/id/48033101/2026-pll-wll-championship-series-lacrosse-sixes-top-players-teams-schedule,Jet3 Holidays,1001,PMax,8627,4
61,Sport competitions (news),World Baseball Classic is here! (Gaslamp Ball),https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,Moonbucks Coffee,1003,Search,6609,470
62,Sport competitions (news),Team USA sets starting pitchers for WBC opener (Times of India),https://timesofindia.indiatimes.com/sports/mlb/news/team-usa-sets-its-best-starting-pitchers-with-cy-young-winners-leading-the-way-for-world-baseball-classic-opener/articleshow/128957698.cms,Jen & Berry's Ice Cream,1002,PMax,7432,515
63,Sport competitions (news),"Barcelona vs Atlético Madrid, Copa del Rey: team news and preview (Barca Blaugranes)",https://www.barcablaugranes.com/barcelona-copa-del-rey/114048/barcelona-atletico-madrid-copa-del-rey-team-news-preview-lineups-score-prediction,Jen & Berry's Ice Cream,1002,Display,1734,79
64,Sport competitions (news),Iga Swiatek returns to Indian Wells 2026 with chance to make history (Times of India),https://timesofindia.indiatimes.com/sports/international-sports/iga-swiatek-returns-to-indian-wells-2026-with-a-chance-to-make-history-as-the-first-woman-to-win-the-title-three-times/articleshow/128971466.cms,Plush Cosmetics,1004,Search,8540,459
65,Sport competitions (news),Luke Littler nominated for Laureus World Breakthrough award (talkSPORT),https://talksport.com/darts/4019764/luke-littler-nominated-award-lando-norris-rory-mcilroy/,Jet3 Holidays,1001,Shopping,6159,81
66,World Baseball Classic 2026,World Baseball Classic (official hub) (MLB.com),https://www.mlb.com/world-baseball-classic,Jen & Berry's Ice Cream,1002,Search,7749,639
67,World Baseball Classic 2026,World Baseball Classic schedule (ESPN),https://www.espn.com/world-baseball-classic/schedule,Moonbucks Coffee,1003,Search,2406,58
68,World Baseball Classic 2026,World Baseball Classic 2026: groups and schedule announced (WBSC),https://www.wbsc.org/en/news/world-baseball-classic-2026-groups-and-schedule-announced,Jet3 Holidays,1001,Search,1669,134
69,World Baseball Classic 2026,"World Baseball Classic 2026: schedule, bracket, format, rosters and how to watch (Yahoo Sports)",https://sports.yahoo.com/mlb/article/world-baseball-classic-2026-schedule-bracket-format-rosters-and-how-to-watch-the-international-baseball-tournament-202329851.html,Jet3 Holidays,1001,Paid Social,1089,13
70,World Baseball Classic 2026,World Baseball Classic is here! (Gaslamp Ball),https://www.gaslampball.com/san-diego-padres-news/54107/world-baseball-classic-is-here,Jen & Berry's Ice Cream,1002,Display,1609,140
71,Travel blogs (2026 destinations),10 Hidden Gems to Visit in 2026 (FlyingCarpet.Travel),https://www.flyingcarpet.travel/blog/featured/travel-hidden-gems-to-visit-in-2026/,Plush Cosmetics,1004,Paid Social,6065,166
72,Travel blogs (2026 destinations),Hidden Travel Gems for 2026 & 2027 (Hays Travel),https://www.haystravel.co.uk/blog/hidden-travel-gems-for-2026-2027-unmissable-adventures-off-the-beaten-path/,Moonbucks Coffee,1003,Display,6920,582
73,Travel blogs (2026 destinations),Destination Dupes 2026: 26 Hidden Gems You Need to Visit (Not Just Travel),https://www.notjusttravel.com/blog/inspiration/destination-dupes-2026-26-hidden-gems-you-need-to-visit,Jet3 Holidays,1001,Search,4873,194
74,Travel blogs (2026 destinations),Hidden Gem Travel Destinations for 2026 (Nicole's Travels),https://nicolestravels.com/hidden-gem-travel-destinations-2026/,Moonbucks Coffee,1003,Search,2632,53
75,Travel blogs (2026 destinations),The Best Underrated Destinations for 2026 (Jamie Wake Travel),https://www.jamiewaketravel.co.uk/the-best-underrated-destinations-for-2026,Plush Cosmetics,1004,Display,2786,108
76,Social media (trends 2026),The 18 social media trends to shape your 2026 strategy (Hootsuite),https://blog.hootsuite.com/social-media-trends/,Jen & Berry's Ice Cream,1002,Shopping,6076,347
77,Social media (trends 2026),The next social wave: 6 predictions shaping social media strategies in 2026 (Forbes),https://www.forbes.com/councils/forbescommunicationscouncil/2026/01/02/the-next-social-wave-the-top-6-predictions-that-will-shape-social-media-strategies-in-2026/,Moonbucks Coffee,1003,Paid Social,7651,567
78,Social media (trends 2026),14 Social Media Trends for 2026: The In's and Outs (MeetEdgar),https://meetedgar.com/blog/social-media-trends-2026-the-ins-and-outs,Plush Cosmetics,1004,Search,7010,473
79,Social media (trends 2026),11 social media trends to watch in 2026 (Adobe Express),https://www.adobe.com/express/learn/blog/2026-social-media-trends,Jen & Berry's Ice Cream,1002,Search,5128,355
80,Social media (trends 2026),Digital 2026 Global Overview Report (We Are Social),https://wearesocial.com/uk/blog/2025/10/digital-2026-global-overview-report/,Jen & Berry's Ice Cream,1002,Display,3365,138
81,K-pop (2026 comebacks),BTS Begins Again (GQ cover story),https://www.gq.com/story/bts-begins-again-gq-cover-story-march-2026-interview,Plush Cosmetics,1004,Paid Social,6794,178
82,K-pop (2026 comebacks),"BIGBANG, BTS, EXO, and the Biggest K-Pop Comebacks of 2026 (The Beat Asia)",https://thebeat.asia/vibe/celebs-influencers/2026-kpop-comebacks,Plush Cosmetics,1004,PMax,6091,277
83,K-pop (2026 comebacks),"Major K-pop comebacks in 2026: BTS, BLACKPINK, EXO, BIGBANG, and more (KpopNewsWire)",https://kpopnewswire.com/major-k-pop-comebacks-in-2026-bts-blackpink-exo-bigbang-jisoo-and-more/,Jet3 Holidays,1001,Search,7455,456
84,K-pop (2026 comebacks),ALL KPOP COMEBACK SCHEDULE 2026 (KpopOfficial),https://kpopofficial.com/kpop-comebacks/,Jen & Berry's Ice Cream,1002,Display,5544,281
85,K-pop (2026 comebacks),Kpop comeback schedule 2026 (KpopArts),https://kpoparts.com/kpop-comeback-schedule/,Plush Cosmetics,1004,Shopping,7148,468
86,K-pop (artist news),BTS partners with Netflix for ARIRANG comeback live show (Times of India),https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/bts-partners-with-netflix-for-historic-global-arirang-comeback-live-show-everything-you-need-to-know/articleshow/128773938.cms,Jet3 Holidays,1001,PMax,9875,293
87,K-pop (artist news),"BLACKPINK is better together than apart, and new mini-album 'Deadline' proves it (People)",https://people.com/blackpink-better-together-deadline-mini-album-11915789,Jen & Berry's Ice Cream,1002,Display,5755,293
88,K-pop (artist news),BTS reunites for GQ March 2026 cover and discusses comeback pressure (allkpop),https://www.allkpop.com/article/2026/02/bts-reunites-for-gq-march-2026-cover-opens-up-about-comeback-pressure-and-new-album,Jet3 Holidays,1001,Search,1493,108
89,K-pop (artist news),Kpop Comebacks in 2026: Ultimate guide & schedule (ExploreKoreaNow),https://explorekoreanow.com/kpop-comebacks-in-2026/,Moonbucks Coffee,1003,PMax,7352,43
90,K-pop (artist news),"2026 K-pop comeback schedule: BTS, EXO, & BLACKPINK (Melonbeat)",https://melonbeat.com/2026-k-pop-comeback-schedule-bts-exo-blackpink/,Moonbucks Coffee,1003,Shopping,3976,280
91,Online content moderation (extremism),AI Tools and the Alt-Right: a double-edged sword for P/CVE (GNET),https://gnet-research.org/2025/01/28/ai-tools-and-the-alt-right-a-double-edged-sword-for-p-cve/,Moonbucks Coffee,1003,Paid Social,7119,519
92,Online content moderation (extremism),"The role of AI in radicalisation, recruitment and terrorist propaganda (Frontiers)",https://www.frontiersin.org/journals/political-science/articles/10.3389/fpos.2025.1718396/full,Jet3 Holidays,1001,Shopping,7065,568
93,Online content moderation (extremism),Global far-right extremist exploitation of AI and alt-tech (RSIS),https://www.rsis.edu.sg/ctta-newsarticle/global-far-right-extremist-exploitation-of-artificial-intelligence-and-alt-tech-the-cases-of-the-uk-us-australia-and-new-zealand/,Plush Cosmetics,1004,PMax,6409,318
94,Online content moderation (extremism),Extremist disinformation networks and narratives during crises (GNET analysis),https://disa.org/extremist-disinformation-networks-and-narratives-during-crises-a-gnet-analysis/,Jen & Berry's Ice Cream,1002,Shopping,3196,280
95,Online content moderation (extremism),GNET – Global Network on Extremism and Technology (home),https://gnet-research.org/,Jet3 Holidays,1001,Display,5823,331
96,Aviation safety explainers,"Why Do Airplanes Crash? Main Causes, Recent Trends, and Safety Lessons (RESQ)",https://resq.com/why-do-airplanes-crash/,Jen & Berry's Ice Cream,1002,Shopping,8557,98
97,Aviation safety explainers,Why modern planes still crash: the hidden chain of errors (Interesting Engineering),https://interestingengineering.com/transportation/why-modern-planes-still-crash,Plush Cosmetics,1004,Search,9591,20
98,Aviation safety explainers,NTSB Investigation Reports overview (NTSB),https://www.ntsb.gov/investigations/AccidentReports/Pages/Reports.aspx,Moonbucks Coffee,1003,Search,3822,15
99,Aviation safety explainers,Aviation Safety Network: investigation reports index,https://aviation-safety.net/investigation/,Jen & Berry's Ice Cream,1002,Shopping,8296,581
100,Aviation safety explainers,Air Accidents Investigation Branch reports search (GOV.UK),https://www.gov.uk/aaib-reports,Plush Cosmetics,1004,Display,5794,79
101,Cooking (one-pot pasta),Magic one pot pasta recipes | olivemagazine,https://www.olivemagazine.com/recipes/collection/best-ever-one-pot-pasta-recipe-collection/,Jen & Berry's Ice Cream,1002,Shopping,1836,150
102,Cooking (one-pot pasta),One pot pasta recipes - RecipeTin Eats,https://www.recipetineats.com/category/pasta-recipes/one-pot-pasta-recipes/,Jen & Berry's Ice Cream,1002,Shopping,6194,414
103,Cooking (one-pot pasta),22 Easy One-Pot Pastas for Busy Weeknights | Food Network,https://www.foodnetwork.com/recipes/packages/comfort-foods/easy-one-pot-meals/one-pot-pastas,Jet3 Holidays,1001,Shopping,1297,124
104,Cooking (one-pot pasta),30 One-Pot Pasta Recipes for Magically Easy Dinners - Kitchn,https://www.thekitchn.com/one-pot-pasta-recipes-261459,Jet3 Holidays,1001,Display,9256,21
105,Cooking (one-pot pasta),17 Satisfying One-Pot Pasta Dinners With 5 Ingredients or Less,https://uk.style.yahoo.com/17-satisfying-one-pot-pasta-170200817.html,Jet3 Holidays,1001,PMax,7039,346
106,Travel / holidays,Travel Articles from The Travel Magazine,https://www.thetravelmagazine.net/articles/,Moonbucks Coffee,1003,Shopping,1855,11
107,Travel / holidays,"Travel | Holiday advice, news & hotel reviews - The Independent",https://www.independent.co.uk/travel,Plush Cosmetics,1004,Paid Social,5298,154
108,Travel / holidays,Saga Travel Blog: Destination Guides & Travel Advice - Saga Holidays,https://holiday.saga.co.uk/blog,Moonbucks Coffee,1003,Paid Social,9048,569
109,Travel / holidays,Travel Articles - The Independent (travel section landing),https://www.independent.co.uk/travel,Jet3 Holidays,1001,Paid Social,5994,411
110,Travel / holidays,Travel Articles listing - The Travel Magazine (articles index),https://www.thetravelmagazine.net/articles/,Jen & Berry's Ice Cream,1002,PMax,2822,265
111,Technology (MWC / devices / trends),The best mobile tech announced at MWC 2026 so far,https://www.theverge.com/tech/882992/mobile-world-congress-mwc-2026-smartphones-laptops-headphones,Jet3 Holidays,1001,PMax,3425,295
112,Technology (MWC / devices / trends),"Samsung rolls out more AI, new privacy shield mode with the new Galaxy S26 lineup",https://apnews.com/article/b23e8c9c51c2d09e772fe8709b867ca7,Jen & Berry's Ice Cream,1002,Display,3841,383
113,Technology (MWC / devices / trends),Ericsson maps out the road to fully commercial 6G networks at MWC 2026,https://www.itpro.com/infrastructure/networking/ericsson-maps-out-the-road-to-fully-commercial-6g-networks-at-mwc-2026,Plush Cosmetics,1004,Paid Social,3347,16
114,Technology (MWC / devices / trends),Top Technology Trends That Will Shape in 2026: Emerging ... - Tech Times,https://www.techtimes.com/articles/313559/20251231/top-technology-trends-that-will-shape-2026-emerging-tech-what-expect-next-year.htm,Plush Cosmetics,1004,Shopping,6121,19
115,Technology (MWC / devices / trends),The Most Impactful Business Technology Trends To Watch In 2026 - Forbes,https://www.forbes.com/councils/forbestechcouncil/2025/12/22/the-most-impactful-business-technology-trends-to-watch-for-2026/,Plush Cosmetics,1004,Search,7303,724
116,Sex & relationships education (non-explicit),Blog — School of Sexuality Education,https://schoolofsexed.org/blog,Jen & Berry's Ice Cream,1002,Paid Social,2066,113
117,Sex & relationships education (non-explicit),New RSHE guidance: what parents need to know - The Education Hub,https://educationhub.blog.gov.uk/2025/07/new-rshe-guidance-what-parents-need-to-know/,Jen & Berry's Ice Cream,1002,Search,6552,119
118,Sex & relationships education (non-explicit),Sexual Health Education for Behavior Change: Revisiting How Much is ... (ScienceDirect),https://www.sciencedirect.com/science/article/pii/S1054139X25002344,Jen & Berry's Ice Cream,1002,Display,8766,125
119,Sex & relationships education (non-explicit),Why aren't we talking more about consent? (School of Sex Ed blog index),https://schoolofsexed.org/blog,Jen & Berry's Ice Cream,1002,Display,5779,347
120,Sex & relationships education (non-explicit),How we bust myths and misinformation around HIV / AIDS (School of Sex Ed blog index),https://schoolofsexed.org/blog,Plush Cosmetics,1004,Paid Social,7746,152
121,Politics (commentary/newsletters),Letters from an American | Heather Cox Richardson | Substack,https://heathercoxrichardson.substack.com/,Plush Cosmetics,1004,Paid Social,6719,623
122,Politics (commentary/newsletters),"Politics Chat, February 26, 2026",https://heathercoxrichardson.substack.com/p/politics-chat-february-26-2026,Jet3 Holidays,1001,Paid Social,6765,513
123,Politics (commentary/newsletters),Comment is Freed | Sam Freedman | Substack,https://samf.substack.com/,Plush Cosmetics,1004,Paid Social,2858,108
124,Politics (commentary/newsletters),Democracy for Sale | Peter Geoghegan | Substack,https://democracyforsale.substack.com/,Jet3 Holidays,1001,Shopping,1386,20
125,Politics (commentary/newsletters),Dominic Cummings substack | Substack,https://dominiccummings.substack.com/,Moonbucks Coffee,1003,Shopping,8263,718
126,War / conflict (Ukraine / geopolitics),"Ukraine war briefing: Russia's army records slowest advance since 2024 amid Starlink cut, data shows",https://www.theguardian.com/world/2026/mar/03/ukraine-war-briefing-russia-army-records-slowest-advance-since-2024-amid-starlink-cut-data-shows,Jen & Berry's Ice Cream,1002,Search,1588,20
127,War / conflict (Ukraine / geopolitics),EU urges Ukraine to allow access to pipeline carrying Russian oil,https://www.ft.com/content/8f5f18fb-311d-4df0-805c-063b292506b3,Plush Cosmetics,1004,Shopping,5102,339
128,War / conflict (Ukraine / geopolitics),"Russia-Ukraine war: List of key events, day 1,464",https://www.aljazeera.com/news/2026/2/27/russia-ukraine-war-list-of-key-events-day-1464,Plush Cosmetics,1004,Search,2223,108
129,War / conflict (Ukraine / geopolitics),War in Ukraine - Financial Times,https://www.ft.com/war-in-ukraine,Jen & Berry's Ice Cream,1002,Paid Social,2390,74
130,War / conflict (Ukraine / geopolitics),"War in Ukraine: Trending News, Latest Updates, Analysis (Bloomberg)",https://www.bloomberg.com/latest/russia-ukraine-war,Plush Cosmetics,1004,Paid Social,2770,174
131,Weapons / gun policy,"The Science of Gun Policy, Fifth Edition - RAND Corporation",https://www.rand.org/pubs/research_reports/RRA4360-2.html,Moonbucks Coffee,1003,Paid Social,7384,261
132,Weapons / gun policy,"Gun Control | Pros, Cons, Debate, Arguments, Firearms, Laws, Safety ... (Britannica)",https://www.britannica.com/procon/gun-control-debate,Jet3 Holidays,1001,Search,1945,74
133,Weapons / gun policy,National Survey of Gun Policy | Center for Gun Violence Solutions,https://publichealth.jhu.edu/center-for-gun-violence-solutions/data/national-survey-of-gun-policy,Jet3 Holidays,1001,Search,4836,200
134,Weapons / gun policy,Policy Evaluation - Harvard T.H. Chan School of Public Health (firearms research),https://hsph.harvard.edu/research/injury-control/firearms-research/policy-evaluation/,Jet3 Holidays,1001,Display,8951,352
